Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2019,Summer,2019-su,MATH,446,Applied Complex Variables,"For students who desire a working knowledge of complex variables; covers the standard topics and gives an introduction to integration by residues, the argument principle, conformal maps, and potential fields. Students desiring a systematic development of the foundations of the subject should take MATH 448. 3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.,,,40289,ONM,A,S2,,4 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"McCarthy, R"
2019,Summer,2019-su,MATH,446,Applied Complex Variables,"For students who desire a working knowledge of complex variables; covers the standard topics and gives an introduction to integration by residues, the argument principle, conformal maps, and potential fields. Students desiring a systematic development of the foundations of the subject should take MATH 448. 3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.,,,30014,X3,A,S2,,3 hours,A,UNKNOWN,Lecture-Discussion,LCD,12:00 PM,12:50 PM,R,243,Altgeld Hall,"Nikolaev, I"
2019,Summer,2019-su,MATH,446,Applied Complex Variables,"For students who desire a working knowledge of complex variables; covers the standard topics and gives an introduction to integration by residues, the argument principle, conformal maps, and potential fields. Students desiring a systematic development of the foundations of the subject should take MATH 448. 3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.,,,30014,X3,A,S2,,3 hours,A,UNKNOWN,Lecture-Discussion,LCD,01:00 PM,01:50 PM,MTWRF,243,Altgeld Hall,"Nikolaev, I"
2019,Summer,2019-su,MATH,446,Applied Complex Variables,"For students who desire a working knowledge of complex variables; covers the standard topics and gives an introduction to integration by residues, the argument principle, conformal maps, and potential fields. Students desiring a systematic development of the foundations of the subject should take MATH 448. 3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.,,,30015,X4,A,S2,,4 hours,A,UNKNOWN,Lecture-Discussion,LCD,12:00 PM,12:50 PM,R,243,Altgeld Hall,"Nikolaev, I"
2019,Summer,2019-su,MATH,446,Applied Complex Variables,"For students who desire a working knowledge of complex variables; covers the standard topics and gives an introduction to integration by residues, the argument principle, conformal maps, and potential fields. Students desiring a systematic development of the foundations of the subject should take MATH 448. 3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours.  Credit is not given for both MATH 446 and MATH 448. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241.,,,30015,X4,A,S2,,4 hours,A,UNKNOWN,Lecture-Discussion,LCD,01:00 PM,01:50 PM,MTWRF,243,Altgeld Hall,"Nikolaev, I"
2019,Summer,2019-su,MATH,448,Complex Variables,"For students who desire a rigorous introduction to the theory of functions of a complex variable; topics include Cauchy's theorem, the residue theorem, the maximum modulus theorem, Laurent series, the fundamental theorem of algebra, and the argument principle. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both MATH 448 and MATH 446. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 447.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both MATH 448 and MATH 446. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 447.,,,39530,XGR,A,S2,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"McCarthy, R"
2019,Summer,2019-su,MATH,461,Probability Theory,"Introduction to mathematical probability; includes the calculus of probability, combinatorial analysis, random variables, expectation, distribution functions, moment-generating functions, and central limit theorem. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both MATH 461 and either MATH 408 or ECE 313. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241 or equivalent.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both MATH 461 and either MATH 408 or ECE 313. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241 or equivalent.,,,38314,ONL,A,S2,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Carpenter, B"
2019,Summer,2019-su,MATH,461,Probability Theory,"Introduction to mathematical probability; includes the calculus of probability, combinatorial analysis, random variables, expectation, distribution functions, moment-generating functions, and central limit theorem. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both MATH 461 and either MATH 408 or ECE 313. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241 or equivalent.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both MATH 461 and either MATH 408 or ECE 313. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241 or equivalent.,,,39267,XGR,A,S2,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Carpenter, B"
2019,Summer,2019-su,MATH,463,Statistics and Probability I,Same as STAT 400. See STAT 400.,4 hours.,Same as STAT 400. See STAT 400.,,Students must register for one discussion and one lecture section.,30461,AD1,A,S2,,,A,UNKNOWN,Discussion/Recitation,DIS,10:00 AM,10:50 AM,TR,1064,Lincoln Hall,"Chakrabarty, S"
2019,Summer,2019-su,MATH,463,Statistics and Probability I,Same as STAT 400. See STAT 400.,4 hours.,Same as STAT 400. See STAT 400.,,Students must register for one discussion and one lecture section.,38266,AD2,A,S2,,,A,UNKNOWN,Discussion/Recitation,DIS,11:00 AM,11:50 AM,TR,1064,Lincoln Hall,"Chakrabarty, S"
2019,Summer,2019-su,MATH,463,Statistics and Probability I,Same as STAT 400. See STAT 400.,4 hours.,Same as STAT 400. See STAT 400.,,Students must register for one discussion and one lecture section.,30462,AL1,A,S2,,,A,UNKNOWN,Lecture,LEC,01:00 PM,02:50 PM,MWF,1090,Lincoln Hall,"Stepanov, A"
2019,Summer,2019-su,MATH,464,Statistics and Probability II,Same as STAT 410. See STAT 410.,3 OR 4 hours.,Same as STAT 410. See STAT 410.,,,33501,1GR,A,S2,,4 hours,A,UNKNOWN,Lecture-Discussion,LCD,09:00 AM,10:50 AM,MWF,1090,Lincoln Hall,"Stepanov, A"
2019,Summer,2019-su,MATH,464,Statistics and Probability II,Same as STAT 410. See STAT 410.,3 OR 4 hours.,Same as STAT 410. See STAT 410.,,,33503,1UG,A,S2,,3 hours,A,UNKNOWN,Lecture-Discussion,LCD,09:00 AM,10:50 AM,MWF,1090,Lincoln Hall,"Stepanov, A"
2019,Summer,2019-su,MATH,481,Vector and Tensor Analysis,"Introductory course in modern differential geometry focusing on examples, broadly aimed at students in mathematics, the sciences, and engineering. Emphasis on rigorously presented concepts, tools and ideas rather than on proofs. The topics covered include differentiable manifolds, tangent spaces and orientability; vector and tensor fields; differential forms; integration on manifolds and Generalized Stokes Theorem; Riemannian metrics, Riemannian connections and geodesics. Applications to configuration and phase spaces, Maxwell equations and relativity theory will be discussed. 3 or 4 undergraduate hours. 3 or 4 graduate hours. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241 and one of MATH 415 or MATH 416 or equivalent.",3 OR 4 hours.,3 or 4 undergraduate hours. 3 or 4 graduate hours. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241 and one of MATH 415 or MATH 416 or equivalent.,,,39531,XGR,A,S2,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"McCarthy, R"
2019,Summer,2019-su,MATH,593,Mathematical Internship,"Full-time or part-time practice of graduate-level mathematics in an off-campus government, industrial, or research laboratory environment. Summary report required. 0 graduate credit. No professional credit. Approved for S/U grading only. May be repeated in separate terms.",0 hours.,0 graduate credit. No professional credit. Approved for S/U grading only. May be repeated in separate terms.,,,38406,KPM,A,S2,,,A,UNKNOWN,Conference,CNF,ARRANGED,,,,,"Mortensen, K"
2019,Summer,2019-su,MATH,593,Mathematical Internship,"Full-time or part-time practice of graduate-level mathematics in an off-campus government, industrial, or research laboratory environment. Summary report required. 0 graduate credit. No professional credit. Approved for S/U grading only. May be repeated in separate terms.",0 hours.,0 graduate credit. No professional credit. Approved for S/U grading only. May be repeated in separate terms.,,,38405,LD,A,S2,,,A,UNKNOWN,Conference,CNF,ARRANGED,,,,,"DeVille, L"
2019,Summer,2019-su,MATH,597,Reading Course,"Independent study in Mathematics. 1 to 8 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in the same or separate terms, with a maximum of 8 hours per semester. Prerequisite: Consent of instructor.",1 TO 8 hours.,"1 to 8 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in the same or separate terms, with a maximum of 8 hours per semester. Prerequisite: Consent of instructor.",,,10556,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,MATH,599,Thesis Research,Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.,0 TO 16 hours.,Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.,,,10600,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,MBA,530,Internship,Approved for S/U grading only. May not be repeated for credit. Prerequisite: Completion of first year of Master of Business Administration program.,0 hours.,Approved for S/U grading only. May not be repeated for credit. Prerequisite: Completion of first year of Master of Business Administration program.,,,10572,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,MBA,530,Internship,Approved for S/U grading only. May not be repeated for credit. Prerequisite: Completion of first year of Master of Business Administration program.,0 hours.,Approved for S/U grading only. May not be repeated for credit. Prerequisite: Completion of first year of Master of Business Administration program.,,,22995,A,A,SF,Quantitative Bootcamp,,A,UNKNOWN,Lecture-Discussion,LCD,09:00 AM,11:50 AM,MTWR,ARR,Business Instructional Fac,"Gleason, N"
2019,Summer,2019-su,MBA,530,Internship,Approved for S/U grading only. May not be repeated for credit. Prerequisite: Completion of first year of Master of Business Administration program.,0 hours.,Approved for S/U grading only. May not be repeated for credit. Prerequisite: Completion of first year of Master of Business Administration program.,,,22995,A,A,SF,Quantitative Bootcamp,,A,UNKNOWN,Lecture-Discussion,LCD,01:00 PM,02:50 PM,MTWR,ARR,Business Instructional Fac,"Gleason, N"
2019,Summer,2019-su,MBA,531,Special Projects,Individual projects selected by the student in consultation with a faculty member and approved by the executive officer of the program. Approved for letter and S/U grading. May be repeated in the same or subsequent terms to a maximum of 12 hours. Prerequisite: Completion of first year of Master of Business Administration program.,1 TO 4 hours.,Approved for letter and S/U grading. May be repeated in the same or subsequent terms to a maximum of 12 hours. Prerequisite: Completion of first year of Master of Business Administration program.,,,10574,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,"Lanesskog, S"
