Year,Term,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2017,Fall,2017-fa,ACCY,303,Atg Institutions and Reg,1,12,11,3,3,3,0,2,0,0,0,1,0,0,"Brown, Timothy J"
2017,Fall,2017-fa,ACCY,303,Atg Institutions and Reg,6,5,7,11,4,2,0,0,1,0,0,0,0,0,"Zhu, Wei"
2017,Fall,2017-fa,ACCY,303,Atg Institutions and Reg,0,7,6,5,6,7,0,2,0,0,0,2,1,0,"Brown, Timothy J"
2017,Fall,2017-fa,ACCY,303,Atg Institutions and Reg,2,6,10,7,5,3,0,2,0,0,0,0,1,0,"Li, Wei"
2017,Fall,2017-fa,ACCY,304,Accounting Control Systems,0,6,4,11,5,2,1,1,5,1,1,1,0,0,"Koo, Seung Hyun"
2017,Fall,2017-fa,ACCY,304,Accounting Control Systems,0,12,8,9,4,2,2,1,0,1,0,0,0,0,"Koo, Seung Hyun"
2017,Fall,2017-fa,ACCY,304,Accounting Control Systems,0,17,3,14,4,1,1,0,0,0,0,0,0,0,"Koo, Seung Hyun"
2017,Fall,2017-fa,ACCY,304,Accounting Control Systems,0,2,10,9,8,3,2,0,0,0,0,1,1,0,"Wang, Wei"
2017,Fall,2017-fa,ACCY,304,Accounting Control Systems,0,6,12,19,0,2,0,0,0,0,0,0,0,0,"Wang, Wei"
2017,Fall,2017-fa,ACCY,304,Accounting Control Systems,0,8,11,11,2,4,1,0,0,0,0,1,0,0,"Wang, Wei"
2017,Fall,2017-fa,ACCY,312,Principles of Taxation,0,21,0,0,7,0,0,4,0,0,1,0,1,0,"Holder, Daniel E"
2017,Fall,2017-fa,ACCY,312,Principles of Taxation,0,13,0,8,13,0,1,2,0,0,0,0,0,0,"Holder, Charles B"
2017,Fall,2017-fa,ACCY,312,Principles of Taxation,0,15,0,5,14,0,4,0,0,0,0,0,0,0,"Holder, Charles B"
2017,Fall,2017-fa,ACCY,312,Principles of Taxation,0,26,0,0,10,0,0,0,0,0,2,0,0,0,"Holder, Daniel E"
2017,Fall,2017-fa,ACCY,312,Principles of Taxation,0,6,6,1,7,6,1,2,1,0,0,0,0,1,"Hutchens, Matthew"
2017,Fall,2017-fa,ACCY,312,Principles of Taxation,2,16,3,2,8,7,0,0,0,0,0,0,0,0,"Hutchens, Matthew"
2017,Fall,2017-fa,ACCY,312,Principles of Taxation,1,9,5,6,5,7,0,0,0,0,1,0,0,0,"Hutchens, Matthew"
2017,Fall,2017-fa,ACCY,405,Assurance and Attestation,0,1,7,9,3,4,2,0,0,0,0,0,0,0,"Bauer, Timothy D"
2017,Fall,2017-fa,ACCY,405,Assurance and Attestation,0,5,11,12,3,3,1,0,0,0,0,0,0,0,"Bauer, Timothy D"
2017,Fall,2017-fa,ACCY,405,Assurance and Attestation,1,2,10,7,2,4,0,0,0,0,0,0,0,0,"Bauer, Timothy D"
2017,Fall,2017-fa,ACCY,410,Advanced Financial Reporting,3,4,4,6,8,3,2,2,1,0,0,0,1,1,"Steward, Cynthia G"
2017,Fall,2017-fa,ACCY,410,Advanced Financial Reporting,6,9,5,6,5,3,0,1,0,0,0,0,0,1,"Steward, Cynthia G"
2017,Fall,2017-fa,ACCY,410,Advanced Financial Reporting,4,8,7,6,4,4,1,1,0,0,0,0,0,0,"Kustanovich, Michael"
2017,Fall,2017-fa,ACCY,410,Advanced Financial Reporting,0,14,7,4,5,5,1,1,0,0,0,0,0,0,"Kustanovich, Michael"
2017,Fall,2017-fa,ACCY,410,Advanced Financial Reporting,1,8,4,2,5,4,2,2,0,0,0,0,1,0,"Kustanovich, Michael"
2017,Fall,2017-fa,ACCY,415,Auditing Stds and Practice,0,11,5,8,3,1,0,0,1,0,0,0,0,0,"Ciconte, William"
2017,Fall,2017-fa,ACCY,415,Auditing Stds and Practice,0,5,1,6,6,6,2,3,0,1,0,0,0,0,"Ciconte, William"
2017,Fall,2017-fa,ACCY,415,Auditing Stds and Practice,0,9,4,5,11,0,1,1,0,0,0,0,0,0,"Ciconte, William"
2017,Fall,2017-fa,ACCY,451,Advanced Income Tax Problems,4,6,5,14,4,3,4,0,0,0,0,0,0,0,"Donohoe, Michael P"
2017,Fall,2017-fa,ACCY,451,Advanced Income Tax Problems,5,12,5,4,6,3,1,0,0,0,1,0,0,0,"Donohoe, Michael P"
2017,Fall,2017-fa,ACCY,451,Advanced Income Tax Problems,0,4,4,9,8,0,0,0,0,0,0,0,0,0,"Sternburg, Thomas"
2017,Fall,2017-fa,ACCY,451,Advanced Income Tax Problems,3,7,8,6,5,2,0,0,1,0,0,0,0,0,"Donohoe, Michael P"
2017,Fall,2017-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",10,12,8,6,12,7,0,0,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2017,Fall,2017-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",6,5,9,7,5,4,0,0,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2017,Fall,2017-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",3,20,4,1,4,9,4,1,0,0,0,0,0,0,"Zhang, Li"
2017,Fall,2017-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",9,11,7,11,10,6,0,0,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2017,Fall,2017-fa,ACCY,501,Accounting Analysis I A,0,6,8,5,2,1,1,0,0,0,0,0,0,0,"Davis, Gregory L"
2017,Fall,2017-fa,ACCY,501,Accounting Analysis I B,2,4,8,4,3,1,0,0,0,0,0,0,0,0,"Davis, Gregory L"
2017,Fall,2017-fa,ACCY,502,Accounting Analysis II,12,7,9,2,1,0,1,1,0,0,0,0,0,0,"Schwartz, Rachel"
2017,Fall,2017-fa,ACCY,502,Accounting Analysis II,8,11,11,2,0,1,0,0,0,0,0,0,0,0,"Schwartz, Rachel"
2017,Fall,2017-fa,ACCY,502,Accounting Analysis II,4,8,10,7,3,0,0,0,0,0,0,0,0,0,"Schwartz, Rachel"
2017,Fall,2017-fa,ACCY,503,Managerial Accounting,10,11,4,2,0,0,0,0,0,0,0,0,0,0,"Chandler, John S"
2017,Fall,2017-fa,ACCY,503,Managerial Accounting,0,160,104,82,69,14,6,5,0,0,0,0,0,5,"Hecht, Gary W"
2017,Fall,2017-fa,ACCY,503,Managerial Accounting,0,17,9,6,13,2,0,0,0,0,0,0,0,0,"Hecht, Gary W"
2017,Fall,2017-fa,ACCY,504,Auditing,0,2,7,11,3,3,0,0,0,0,0,0,0,0,"Chatterton, Angel"
2017,Fall,2017-fa,ACCY,504,Auditing,0,0,12,20,2,0,0,0,0,0,0,0,0,0,"Chatterton, Angel"
2017,Fall,2017-fa,ACCY,504,Auditing,3,15,3,3,15,0,0,0,0,0,0,0,0,0,"Peecher, Mark E"
2017,Fall,2017-fa,ACCY,505,Federal Taxation,1,5,13,13,2,3,0,0,0,0,0,1,0,0,"Chatterton, Angel"
2017,Fall,2017-fa,ACCY,505,Federal Taxation,0,20,0,0,8,0,0,2,0,0,0,0,0,0,"Holder, Daniel E"
2017,Fall,2017-fa,ACCY,505,Federal Taxation,0,21,0,0,7,0,0,2,0,0,0,0,0,0,"Holder, Daniel E"
2017,Fall,2017-fa,ACCY,505,Federal Taxation,1,18,0,7,5,1,0,0,0,0,0,0,0,0,"Holder, Charles B"
2017,Fall,2017-fa,ACCY,510,Financial Reporting Standards,4,13,0,4,6,2,0,1,0,0,0,0,0,0,"Steward, Cynthia G"
2017,Fall,2017-fa,ACCY,510,Financial Reporting Standards,4,9,7,2,5,4,0,0,0,0,0,0,0,0,"Hepp, John"
2017,Fall,2017-fa,ACCY,510,Financial Reporting Standards,3,7,8,4,7,1,0,0,0,0,0,0,0,0,"Hepp, John"
2017,Fall,2017-fa,ACCY,510,Financial Reporting Standards,5,14,0,4,6,2,1,1,0,0,0,0,0,0,"Steward, Cynthia G"
2017,Fall,2017-fa,ACCY,512,Internal Risk Measurement/Rept,5,8,4,8,0,0,0,0,0,0,0,0,0,0,"Du, Fei"
2017,Fall,2017-fa,ACCY,515,Auditing & Assurance Standards,0,4,6,12,4,4,0,0,0,0,0,0,0,0,"Zhou, Yuepin"
2017,Fall,2017-fa,ACCY,515,Auditing & Assurance Standards,0,6,6,11,5,3,0,0,0,0,0,0,0,0,"Zhou, Yuepin"
2017,Fall,2017-fa,ACCY,515,Auditing & Assurance Standards,0,2,9,7,6,2,1,0,0,0,0,0,0,0,"Zhou, Yuepin"
2017,Fall,2017-fa,ACCY,517,Financial Statement Analysis,0,6,4,3,10,1,0,0,0,0,0,0,0,0,"Ibrahim, Adel Nematallah"
2017,Fall,2017-fa,ACCY,517,Financial Statement Analysis,0,12,6,1,7,1,0,0,0,0,0,0,0,0,"Ibrahim, Adel Nematallah"
2017,Fall,2017-fa,ACCY,551,Corporate Income Taxation,0,2,2,11,12,0,0,0,0,0,0,0,0,0,"Sternburg, Thomas"
2017,Fall,2017-fa,ACCY,552,Partnership Income Taxation,4,7,7,2,3,2,0,0,0,0,0,0,1,0,"Hart, Michael T"
2017,Fall,2017-fa,ACCY,554,International Taxation,2,3,3,6,9,2,0,0,0,0,0,0,0,0,"Engle, Howard S"
2017,Fall,2017-fa,ACCY,556,Tax Research,0,6,9,11,3,0,0,0,0,0,0,0,0,0,"Chorvat, Elizabeth A"
2017,Fall,2017-fa,ACCY,556,Tax Research,2,9,8,7,0,0,0,0,0,0,0,0,0,0,"Chorvat, Elizabeth A"
