Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",5103,Society and the Environment ,4,0,4,0,1,1,0,1,1,0,0,0,0,0,1,0,1,3,1,10KV5313BSLU
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",5103,Society and the Environment ,6,0,6,0,4,2,0,0,0,0,0,0,0,0,0,0,2,4,2,10KV8037BSLA
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",5104,Science of the Earth System ,24,16,8,0,12,3,2,4,0,0,1,2,0,3,1,0,3,21,3,10KV5313BSLA
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",5104,Science of the Earth System ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10KV5313BSLU
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",5104,Science of the Earth System ,4,3,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,3,1,10KV8037BSLA
2018,120188,LC ,282,MS ,5216,VMS - Pathobiology ,  ,  ,7,1,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,7,10KS5216MS
2018,120188,LC ,282,PHD ,5216,VMS - Pathobiology ,  ,  ,22,11,11,0,9,0,1,2,0,0,0,10,0,2,1,0,0,5,17,10KS5216PHD
2018,120188,KV ,292,MS ,314,Biology ,315,"Ecology, Ethology, Evolution ",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10KS0315MS
2018,120188,KY ,294,BS ,5460,Interdisciplinary Health Sci ,  ,  ,101,20,81,0,54,26,6,8,0,1,6,0,0,7,1,1,31,93,8,10KY5460BS
2018,120188,KY ,294,BS ,5460,Interdisciplinary Health Sci ,5219,Health and Aging ,46,12,34,0,20,8,8,8,0,0,1,1,0,9,0,0,9,45,1,10KY5460BS
2018,120188,KY ,294,BS ,5460,Interdisciplinary Health Sci ,5220,Health Behavior Change ,95,18,77,0,55,18,8,12,0,0,2,0,0,9,3,0,19,91,4,10KY5460BS
2018,120188,KY ,294,BS ,5460,Interdisciplinary Health Sci ,5221,Health Diversity ,86,10,76,0,37,14,7,22,0,0,6,0,0,11,0,0,18,84,2,10KY5460BS
2018,120188,KV ,299,BALAS ,5535,Psychology ,  ,  ,4,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,3,1,10KV8037BALA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,  ,  ,343,84,259,0,146,74,35,45,0,0,18,25,0,42,4,4,89,295,48,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,  ,  ,80,12,68,0,28,7,1,21,0,0,3,19,1,2,0,1,10,57,23,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5568,Behavioral Neuroscience ,22,7,15,0,9,5,0,8,0,0,0,0,0,0,1,0,6,21,1,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5568,Behavioral Neuroscience ,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5569,Clinical/Community Psychology ,66,15,51,0,33,9,9,8,0,0,2,5,0,11,0,0,10,61,5,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5569,Clinical/Community Psychology ,13,1,12,0,6,1,1,4,0,0,0,1,0,1,1,0,1,9,4,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5570,Cognitive Psychology ,7,4,3,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,7,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5570,Cognitive Psychology ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5571,Developmental Psychology ,16,1,15,0,9,1,0,4,0,0,1,1,0,0,0,0,2,15,1,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5571,Developmental Psychology ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5572,Organizational Psychology ,40,16,24,0,15,8,4,5,0,0,2,5,1,4,0,1,10,31,9,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5572,Organizational Psychology ,12,2,10,0,5,2,0,2,0,0,1,2,0,0,0,0,3,9,3,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5573,Social/Personality Psychology ,12,5,7,0,4,4,0,1,0,0,0,3,0,0,0,0,4,9,3,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5573,Social/Personality Psychology ,5,3,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,3,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5574,General Psychology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KV5535BSLA
