State,Year,Undergrad,Professional,Grad,Total
Kentucky,1993,44,2,25,71
Louisiana,1993,9,1,16,26
Maine,1993,0,0,4,4
Maryland,1993,47,1,39,87
Massachusetts,1993,46,0,26,72
Michigan,1993,56,13,74,143
Minnesota,1993,28,1,35,64
Mississippi,1993,5,0,10,15
Missouri,1993,191,5,80,276
Montana,1993,3,0,6,9
Nebraska,1993,10,0,13,23
Nevada,1993,6,0,1,7
New Hampshire,1993,7,0,8,15
New Jersey,1993,93,4,42,139
New Mexico,1993,6,0,13,19
New York,1993,108,14,96,218
North Carolina,1993,23,0,29,52
North Dakota,1993,2,0,4,6
Ohio,1993,140,1,87,228
Oklahoma,1993,13,0,12,25
Oregon,1993,9,0,9,18
Pennsylvania,1993,61,2,75,138
Rhode Island,1993,3,1,1,5
South Carolina,1993,9,0,11,20
South Dakota,1993,0,0,5,5
Tennessee,1993,33,2,25,60
Texas,1993,48,2,54,104
Utah,1993,1,1,2,4
Vermont,1993,0,0,4,4
Virginia,1993,42,1,41,84
Washington,1993,8,0,15,23
West Virginia,1993,3,0,5,8
Wisconsin,1993,58,3,55,116
Wyoming,1993,0,0,1,1
Alabama,1992,13,0,10,23
Alaska,1992,2,0,3,5
Arizona,1992,10,0,19,29
Arkansas,1992,5,2,9,16
California,1992,69,16,106,191
Colorado,1992,28,0,26,54
Connecticut,1992,29,1,20,50
Delaware,1992,3,2,5,10
District of Columbia,1992,1,2,0,3
Florida,1992,46,2,36,84
Georgia,1992,30,1,21,52
Hawaii,1992,11,0,7,18
Idaho,1992,1,0,4,5
Illinois,1992,23992,849,5056,29897
Indiana,1992,86,4,63,153
Iowa,1992,35,0,37,72
Kansas,1992,18,1,10,29
Kentucky,1992,44,1,26,71
Louisiana,1992,6,0,13,19
Maine,1992,3,0,2,5
Maryland,1992,44,0,34,78
Massachusetts,1992,43,0,26,69
Michigan,1992,42,14,85,141
Minnesota,1992,19,1,43,63
Mississippi,1992,4,0,7,11
Missouri,1992,169,2,88,259
Montana,1992,2,0,3,5
Nebraska,1992,14,0,13,27
Nevada,1992,7,1,0,8
New Hampshire,1992,9,0,5,14
New Jersey,1992,82,4,36,122
New Mexico,1992,7,0,10,17
New York,1992,96,11,114,221
North Carolina,1992,14,0,17,31
North Dakota,1992,1,0,4,5
Ohio,1992,137,3,87,227
Oklahoma,1992,15,0,15,30
Oregon,1992,8,0,9,17
Pennsylvania,1992,57,5,71,133
Rhode Island,1992,4,1,2,7
South Carolina,1992,12,0,7,19
South Dakota,1992,0,0,3,3
Tennessee,1992,38,1,19,58
Texas,1992,44,0,55,99
Utah,1992,2,1,6,9
Vermont,1992,2,0,2,4
Virginia,1992,44,4,31,79
Washington,1992,9,0,20,29
West Virginia,1992,6,0,7,13
Wisconsin,1992,66,2,54,122
Wyoming,1992,2,0,1,3
Alabama,1991,11,1,10,22
Alaska,1991,3,0,3,6
Arizona,1991,8,0,14,22
Arkansas,1991,4,3,6,13
California,1991,66,4,101,171
Colorado,1991,27,0,21,48
Connecticut,1991,29,3,19,51
Delaware,1991,5,1,7,13
District of Columbia,1991,1,3,0,4
Florida,1991,49,1,26,76
Georgia,1991,26,1,17,44
Hawaii,1991,8,0,8,16
Idaho,1991,1,0,6,7
Illinois,1991,24618,869,5068,30555
Indiana,1991,89,2,57,148
Iowa,1991,40,0,38,78
Kansas,1991,16,1,22,39
Kentucky,1991,41,1,25,67
Louisiana,1991,7,1,17,25
Maine,1991,4,0,1,5
Maryland,1991,34,1,36,71
Massachusetts,1991,38,0,26,64
Michigan,1991,44,9,81,134
Minnesota,1991,19,2,36,57
Mississippi,1991,2,0,9,11
Missouri,1991,181,5,69,255
