CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41670,ME,200,Thermodynamics,OL1,OLC,120245,"He, Jiajun",19,12,3,1,1,1,0,0,0,0,0,0,1,0,3.79
38377,MUS,132,History of Rock,A,ONL,120245,"Eagen-Jones, Megan K",36,43,11,6,5,1,3,3,2,1,4,0,2,0,3.55
38696,MUS,132,History of Rock,B,ONL,120245,"Eagen-Jones, Megan K",29,21,10,0,6,1,1,0,0,0,0,0,3,0,3.66
30110,MUS,133,Introduction to World Music,A,ONL,120245,"Silvers, Michael B",85,5,0,1,0,1,0,1,0,0,0,0,0,0,3.96
30111,MUS,133,Introduction to World Music,B,ONL,120245,"Silvers, Michael B",43,4,0,0,0,0,0,0,0,0,1,0,0,0,3.94
38743,NPRE,402,Nuclear Power Engineering,D3,ONL,120245,"Ragheb, Magdi",5,12,3,1,2,0,0,0,0,0,0,0,0,0,3.84
30232,PHYS,101,College Physics: Mech & Heat,A,LEC,120245,"Shoaf, Curtis M",5,3,2,2,0,1,2,3,2,0,3,0,0,0,2.86
39523,PS,100,Intro to Political Science,ONL,ONL,120245,"Shen, Shuyuan",10,8,2,2,2,1,0,0,0,0,0,0,0,0,3.79
40504,PS,201,US Racial & Ethnic Politics,ONL,ONL,120245,"Mullins, Stephen T",11,7,2,3,4,3,1,0,2,0,0,0,1,1,3.38
36371,PS,305,The US Supreme Court,ONL,ONL,120245,"Li, Jing",0,10,5,2,6,0,0,0,0,0,0,0,1,0,3.46
38327,PS,385,Politics of the European Union,ONL,ONL,120245,"Lee, Younghyun",6,4,4,3,1,1,0,0,0,1,0,1,1,1,3.29
39086,PSYC,100,Intro Psych,1ON,ONL,120245,"Shenouda, Christine K",1,11,5,9,6,1,5,5,0,2,1,0,8,1,2.64
40182,PSYC,204,Intro to Brain and Cognition,1ON,ONL,120245,"Dolcos, Sanda M",4,9,9,2,3,3,2,0,0,0,1,0,0,0,3.47
34296,PSYC,224,Cognitive Psych,1ON,ONL,120245,"Sahakyan, Lili",0,11,0,0,6,0,0,4,0,0,1,0,2,1,2.96
41316,PSYC,313,"Drugs, Brain and Behavior",2ON,ONL,120245,"Gulley, Joshua M",3,10,3,3,9,4,2,4,1,2,3,0,2,0,2.84
42157,PSYC,355,The Attentive Mind,2ON,ONL,120245,"Lleras Buetti, Simona",10,11,6,5,6,2,2,0,1,1,0,1,1,0,3.36
33558,PSYC,363,Developmental Child Psych Lab,AL2,OLC,120245,"Shenouda, Christine K",2,2,5,3,2,3,1,2,1,1,0,1,3,0,2.63
40815,REHB,330,Disability in American Society,ON2,ONL,120245,"Rice, Laura A",5,9,5,5,4,0,0,2,1,0,0,0,0,0,3.51
