Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
CS,173,40083,Discrete Structures,BL1,LEC,120238,9,41,26,20,22,10,5,10,4,6,4,1,1,0,3.18,"Delgosha, Payam"
CS,173,51495,Discrete Structures,CL1,LEC,120238,15,68,33,30,33,20,16,10,8,11,2,4,5,0,3.12,"Cosman, Benjamin L"
CS,210,31516,Ethical & Professional Issues,AE1,LCD,120238,0,45,1,3,7,1,0,3,0,0,0,0,1,0,3.66,"Cunningham, Ryan M"
CS,211,74483,Ethical & Professional Conduct,EA1,LCD,120238,0,98,9,6,6,0,0,0,0,0,0,0,0,0,3.89,"Cunningham, Ryan M"
CS,222,74484,Software Design Lab,SL1,LCD,120238,0,443,10,4,1,1,0,0,1,0,0,0,1,0,3.97,"Woodley, Michael J"
CS,225,35917,Data Structures,AL1,LEC,120238,0,564,60,50,39,21,20,12,12,10,9,5,31,1,3.52,"Solomon, Brad R"
CS,233,63733,Computer Architecture,AL1,LCD,120238,20,134,4,4,19,1,2,4,1,0,3,0,2,1,3.72,"Herman, Geoffrey L"
CS,233,63740,Computer Architecture Honors,HL2,LEC,120238,2,20,1,1,0,0,0,0,0,0,0,0,1,0,3.8,"Wong, Ryan"
CS,233,64513,Computer Architecture,OL1,OLC,120238,1,87,3,2,15,1,1,2,1,0,3,0,5,1,3.54,"Herman, Geoffrey L"
CS,307,77586,Model & Learning in Data Sci,MLD,LEC,120238,13,47,10,6,3,0,2,1,1,0,0,0,1,0,3.74,"Dalpiaz, David M"
CS,340,77096,Intro to Computer Systems,ICS,LEC,120238,0,86,18,4,13,7,1,2,2,0,1,0,5,1,3.54,"Evans, Graham C"
CS,341,76767,System Programming,AL1,LEC,120238,46,157,37,22,24,12,12,7,5,3,3,4,5,2,3.52,"Angrave, Lawrence"
CS,357,63536,Numerical Methods I,M,OLC,120238,11,138,41,22,19,7,7,10,5,0,4,0,1,1,3.56,"Silva, Mariana T"
CS,357,53280,Numerical Methods I,N,LCD,120238,9,66,15,12,8,5,3,4,2,0,0,0,1,0,3.61,"Silva, Mariana T"
CS,361,66298,Prob & Stat for Computer Sci,AL1,LEC,120238,110,59,36,26,27,17,4,7,3,0,3,3,6,1,3.5,"Liu, Hongye"
CS,374,66445,Intro to Algs & Models of Comp,AL1,LEC,120238,24,61,58,55,40,51,46,19,20,4,0,1,0,0,3.1,"Erickson, Jeff G"
CS,374,70641,Intro to Algs & Models of Comp,BL1,LEC,120238,25,78,84,59,9,6,6,3,4,9,1,4,11,2,3.35,"Kani, Nickvash"
CS,409,76904,The Art of Web Programming,WPU,LCD,120238,50,85,39,16,14,4,2,1,2,0,0,0,4,1,3.71,"Kumar, Ranjitha"
CS,410,67393,Text Information Systems,DSO,ONL,120238,101,67,32,11,1,5,0,3,0,0,0,0,0,3,3.86,"Zhai, Chengxiang"
CS,410,73824,Text Information Systems,TIU,ONL,120238,33,36,11,1,3,0,0,1,0,0,0,0,0,0,3.9,"Zhai, Chengxiang"
CS,410,78820,Text Information Systems,TUG,LEC,120238,28,2,2,1,2,0,0,0,0,0,0,0,0,0,3.91,"Robles Granda, Pablo D"
CS,411,30109,Database Systems,QU,LEC,120238,26,330,45,19,12,14,3,1,1,1,1,0,1,1,3.84,"Alawini, Abdussalam A"
CS,412,43357,Introduction to Data Mining,PU,LCD,120238,9,77,44,26,13,2,3,4,0,0,0,0,2,0,3.64,"Banerjee, Arindam"
CS,415,77099,Game Development,GU,OLC,120238,3,156,28,18,11,4,3,7,0,0,0,0,2,1,3.73,"Shaffer, Eric G"
CS,418,36119,Interactive Computer Graphics,AL1,ONL,120238,0,74,9,6,8,4,2,6,1,0,1,0,11,1,3.31,"Tychonievich, Luther A"
CS,418,67033,Interactive Computer Graphics,DSO,ONL,120238,0,22,2,1,1,2,2,0,2,0,1,0,0,6,3.52,"Tychonievich, Luther A"
CS,421,65906,Progrmg Languages & Compilers,CU,LCD,120238,35,12,3,6,5,3,3,6,0,3,1,0,0,1,3.46,"Ringer, Talia L"
CS,421,30128,Progrmg Languages & Compilers,DU,LCD,120238,23,77,23,16,21,9,6,13,6,0,3,2,4,1,3.35,"Gunter, Elsa"
CS,423,36113,Operating Systems Design,SU,LCD,120238,13,30,27,17,4,1,0,2,1,0,0,0,0,0,3.67,"Xu, Tianyin"
CS,424,51775,Real-Time Systems,PU,LCD,120238,13,26,5,3,4,2,1,0,0,0,0,0,0,0,3.79,"Abdelzaher, Tarek"
CS,425,67394,Distributed Systems,DSO,ONL,120238,8,28,62,38,10,5,0,0,0,0,0,0,2,2,3.54,"Gupta, Indranil"
CS,425,36091,Distributed Systems,SU,LCD,120238,34,116,62,52,14,4,1,0,2,0,0,0,1,0,3.71,"Gupta, Indranil"
CS,426,43355,Compiler Construction,NU,LCD,120238,3,18,3,3,4,2,3,0,0,0,0,0,0,0,3.59,"Misailovic, Sasa"
CS,427,70960,Software Engineering I,DSO,ONL,120238,89,92,20,9,5,2,0,1,0,0,0,0,0,1,3.9,"Jabbarvand Behr, Reyhaneh"
CS,427,36104,Software Engineering I,S3,ONL,120238,54,46,18,3,6,1,0,1,0,0,0,0,0,0,3.87,"Jabbarvand Behr, Reyhaneh"
CS,433,36069,Computer System Organization,T3,LCD,120238,4,9,10,5,6,2,1,1,2,1,0,0,0,0,3.38,"Ghose, Saugata"
CS,437,75719,Topics in Internet of Things,DSO,ONL,120238,41,28,3,1,1,4,0,0,0,0,0,0,0,2,3.9,"Caesar, Matthew C"
CS,438,36061,Communication Networks,X3,LCD,120238,14,31,32,19,13,9,1,3,0,0,0,0,1,0,3.5,"Roy Choudhury, Romit"
CS,440,67003,Artificial Intelligence,R3,LEC,120238,4,142,69,59,45,31,23,5,9,0,3,3,6,0,3.34,"Fleck, Margaret M"
CS,441,74467,Applied Machine Learning,AMU,OLC,120238,11,251,41,9,11,1,1,1,0,2,2,0,0,0,3.87,"Morales Aguirre, Marco An"
