Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ECON,103,37312,Macroeconomic Principles,0,20,6,4,13,7,0,8,2,0,2,1,2,1,3,"McDermott, Eric M"
ECON,202,38802,Economic Statistics I,5,11,0,5,6,0,5,10,0,5,0,0,1,1,2.85,"Schultz, Colleen"
ECON,203,37858,Economic Statistics II,18,9,10,10,9,8,8,10,3,6,3,1,5,0,2.82,"Petry, Joseph A"
ECON,302,38740,Inter Microeconomic Theory,44,84,40,21,23,1,5,1,0,0,0,1,7,1,3.59,"Vazquez, Jose J"
ECON,303,38741,Inter Macroeconomic Theory,11,7,6,4,4,4,1,1,0,0,0,0,1,0,3.44,"Petry, Joseph A"
ECON,483,38349,Econ of Innovation and Tech,4,5,10,7,3,0,0,0,0,0,0,0,0,0,3.62,"Chalioti, Evangelia"
ECON,516,38404,Monetary Theory,0,9,2,0,10,0,0,0,0,0,0,0,0,0,3.49,"Paiva, Claudio A"
ECON,529,39329,Macroeconomics for Business,18,67,31,31,21,8,2,2,1,0,1,0,1,0,3.57,"Esfahani, Hadi S"
ECON,529,39330,Macroeconomics for Business,9,20,13,4,2,3,0,0,0,0,0,0,4,2,3.47,"Esfahani, Hadi S"
ECON,529,38365,Macroeconomics for Business,22,12,6,2,0,1,0,0,0,0,0,0,0,0,3.89,"Esfahani, Hadi S"
EIL,411,37367,Intro to TESL Methodology,7,18,2,0,0,0,0,0,0,0,0,0,1,0,3.84,"Bishop, Hugh"
EIL,460,36860,Principles of Language Testing,1,10,11,1,0,0,0,0,0,0,0,0,0,0,3.81,"Walters, Francis S"
ENGL,104,36321,Intro to Film,0,7,2,5,0,0,2,0,0,0,0,0,7,0,2.46,"Slobodnik, Sydney J"
ENSU,310,36323,Renewable & Alternative Energy,5,7,4,1,1,0,0,0,1,0,0,0,3,0,3.21,"Snodgrass, Eric R"
EPS,405,37891,Historical & Social Barriers,0,85,4,3,0,1,0,0,1,0,0,0,0,0,3.93,"Pak, Yoon K"
EPS,415,35676,Technology &Educational Reform,1,63,16,9,12,2,0,0,0,0,0,0,0,0,3.75,"Burbules, Nicholas C"
FAA,220,38797,Introduction to Fashion,22,10,0,2,1,1,0,0,0,0,0,0,1,0,3.79,"Becker, Susan E"
FIN,221,29940,Corporate Finance,0,46,18,21,10,2,5,3,0,0,2,0,0,0,3.5,"Dyer, Michael A"
FIN,511,30708,Investments,0,11,6,5,6,3,1,1,0,0,0,0,0,0,3.42,"Peters, Stephen R"
FSHN,120,29943,Contemporary Nutrition,1,4,1,3,6,4,1,2,4,0,0,1,0,0,2.82,"Tappenden, Kelly A"
FSHN,464,39269,Beverage Science & Technology,6,27,0,1,0,0,0,0,0,0,0,0,0,0,3.98,"Bohn, Dawn M"
GEOL,117,37296,The Oceans,7,8,5,2,1,2,2,2,0,0,0,0,0,0,3.52,"Pettijohn, Justin C"
HDFS,105,30771,Intro to Human Development,0,22,0,2,1,0,0,0,0,0,0,0,0,0,3.91,"Brooks, Jan D"
HDFS,105,36009,Intro to Human Development,17,9,2,4,2,1,2,3,1,0,1,1,1,0,3.35,"Whittaker, Angela M"
HIST,273,36308,Illinois History,0,4,14,2,1,0,2,1,0,0,1,0,0,0,3.39,"Toller-Clark, Ian"
IB,150,37351,Organismal & Evolutionary Biol,2,20,9,10,3,3,2,2,3,1,1,0,2,0,3.23,"Clegg, Benjamin F"
IB,533,39096,Human Genome & Bioinformatics,15,6,0,1,0,0,0,0,0,0,0,0,0,0,3.97,"Manaster, Joanne L"
JOUR,200,39100,Introduction to Journalism,1,14,17,9,10,4,0,2,0,3,0,1,2,0,3.2,"Follis, Jennifer E"
KIN,142,39229,Contemporary Issues in Sport,0,21,0,0,3,0,0,2,0,0,0,0,0,0,3.73,"Sydnor, Synthia"
LA,314,38400,History of World Landscapes,12,5,6,3,3,6,0,3,1,1,1,1,4,0,2.95,"Deming, Margaret E"
LIS,452,39218,Foundations Info Processing,3,10,4,2,2,1,0,0,0,0,0,0,0,0,3.78,"Trainor, Kevin"
LIS,502,39268,Libraries Info and Society,1,23,4,1,0,0,0,1,1,0,0,0,0,0,3.76,"Bloch, Mary E"
LIS,504,39193,Reference and Info Services,0,26,1,0,1,0,0,0,0,0,0,0,0,0,3.95,"Holba Puacz, Jeanne T"
LIS,505,39153,Adm Mgt of Libs Info Centers,1,19,2,0,1,0,0,0,0,0,0,0,0,0,3.93,"Burger, Robert H"
LIS,507,39194,Intr to Bibliographic Metadata,2,9,0,1,6,0,1,1,0,0,0,1,0,0,3.35,"Shoemaker, Elizabeth A"
LIS,590,39204,Project Management,7,7,3,3,1,0,0,0,0,0,0,0,0,0,3.81,"Trainor, Kevin"
MACS,356,36795,Sex & Gender in Popular Media,0,2,1,2,6,2,1,4,0,0,3,0,3,1,2.29,"Grosse, Meghan L"
MATH,231,33002,Calculus II,2,2,1,3,3,4,0,2,2,1,0,1,0,1,2.79,"Toprak, Ebru"
MATH,231,38307,Calculus II,0,7,4,0,1,5,1,1,2,2,0,1,5,1,2.41,"Carpenter, Bruce"
MATH,241,35278,Calculus III,7,2,4,1,4,0,0,1,2,0,0,0,0,0,3.4,"Folwaczny, Lena C"
MATH,285,38310,Intro Differential Equations,0,7,2,3,7,0,0,1,1,0,0,0,0,0,3.33,"Carpenter, Bruce"
MATH,415,36763,Applied Linear Algebra,6,14,5,2,9,3,1,4,2,4,9,0,0,1,2.85,"Contreras Palac, Ivan G"
MATH,415,38313,Applied Linear Algebra,0,12,9,2,5,2,3,0,0,0,0,0,3,0,3.2,"Carpenter, Bruce"
