CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30228,ACCY,302,Decision Making for Atg,AE5,LCD,120251,"Curtis, Susan M",,,,,3,10,8,5,4,1,1,0,0,0,0,0,0,0,3.59
30232,ACCY,302,Decision Making for Atg,AE6,LCD,120251,"Curtis, Susan M",,,,,3,9,2,8,4,0,1,0,2,1,0,0,0,0,3.37
30255,ACCY,302,Decision Making for Atg,AE7,LCD,120251,"Sani, Jalal",,,,,6,6,4,1,3,0,0,1,0,0,0,1,0,0,3.53
30267,ACCY,303,Atg Institutions and Reg,AE2,LCD,120251,"Schwartz, Rachel",,,,,3,11,1,5,1,1,3,3,0,1,0,1,0,0,3.23
30271,ACCY,303,Atg Institutions and Reg,AE3,LCD,120251,"Hamm, Brian K",,,,,0,17,2,2,4,1,0,2,0,2,0,0,1,0,3.33
30274,ACCY,303,Atg Institutions and Reg,AE4,LCD,120251,"Schwartz, Rachel",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30276,ACCY,303,Atg Institutions and Reg,AE5,LCD,120251,"Schwartz, Rachel",,,,,7,13,2,3,2,0,0,2,1,0,0,0,0,0,3.63
30278,ACCY,303,Atg Institutions and Reg,AE6,LCD,120251,"Pachera, Susan",,,,,4,14,2,3,2,2,2,0,0,0,0,0,0,1,3.63
46358,ACCY,303,Atg Institutions and Reg,AE7,LCD,120251,"Pachera, Susan",,,,,1,8,2,4,2,0,3,2,2,2,0,0,1,0,2.95
30288,ACCY,304,Accounting Control Systems,AE2,LCD,120251,"Dahle, Andrew J",,,,,4,6,5,6,8,1,2,0,0,0,0,0,0,0,3.43
30291,ACCY,304,Accounting Control Systems,AE3,LCD,120251,"Hayne, Christie",,,,,4,9,1,3,7,2,0,1,0,0,1,1,0,1,3.3
30294,ACCY,304,Accounting Control Systems,AE4,LCD,120251,"Hayne, Christie",,,,,5,11,2,2,8,2,0,0,0,1,0,0,0,0,3.51
30299,ACCY,304,Accounting Control Systems,AE6,LCD,120251,"Dahle, Andrew J",,,,,3,7,0,5,13,0,1,0,0,0,0,0,0,0,3.38
48420,ACCY,304,Accounting Control Systems,AE7,LCD,120251,"Dahle, Andrew J",,,,,3,2,2,1,11,1,0,2,0,0,0,0,0,0,3.2
48421,ACCY,304,Accounting Control Systems,AE8,LCD,120251,"Hayne, Christie",,,,,1,4,0,5,9,5,2,0,0,0,0,0,1,0,3.02
30334,ACCY,312,Principles of Taxation,A,LCD,120251,"Hutchens, Michelle L",,,,,2,9,6,4,7,1,0,1,0,0,0,0,0,0,3.5
30335,ACCY,312,Principles of Taxation,B,LCD,120251,"Hutchens, Michelle L",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30336,ACCY,312,Principles of Taxation,C,LCD,120251,"Hutchens, Michelle L",,,,,0,7,4,8,3,3,1,1,0,0,0,0,0,0,3.36
39460,ACCY,312,Principles of Taxation,D,LCD,120251,"Osswald, Benjamin",,,,,4,4,2,10,7,0,0,0,0,0,1,0,0,0,3.38
48959,ACCY,312,Principles of Taxation,E,LCD,120251,"Osswald, Benjamin",,,,,5,4,3,9,4,2,0,2,0,0,0,0,1,0,3.28
56978,ACCY,312,Principles of Taxation,F,LCD,120251,"Osswald, Benjamin",,,,,1,9,6,2,5,2,0,2,0,0,0,1,0,1,3.35
76009,ACCY,375,Career Pathways in Accountancy,CPA,LCD,120251,"Lullo, Michael J",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
