CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
60044,ACCY,410,Advanced Financial Reporting,A3,LCD,120241,"Kustanovich, Michael",2,5,3,3,4,2,1,1,0,0,0,0,0,0,3.32
60045,ACCY,410,Advanced Financial Reporting,B3,LCD,120241,"Steward, Cynthia G",2,4,4,2,4,1,0,3,0,1,1,0,0,0,3.13
61733,ACCY,410,Advanced Financial Reporting,C3,LCD,120241,"Chen, Ciao-Wei",4,4,6,6,4,0,0,0,0,0,0,0,2,0,3.33
61734,ACCY,410,Advanced Financial Reporting,D3,LCD,120241,"Kustanovich, Michael",0,4,7,3,10,4,1,1,0,0,0,0,0,0,3.21
61758,ACCY,410,Advanced Financial Reporting,F3,LCD,120241,"Steward, Cynthia G",6,5,3,1,5,3,1,1,0,0,0,0,0,0,3.43
61759,ACCY,410,Advanced Financial Reporting,G3,LCD,120241,"Chen, Ciao-Wei",2,1,8,1,6,4,2,2,1,0,0,0,0,0,3.1
76063,ACCY,449,Tax in Action - VITA,A,ONL,120241,"Alt, Amanda J",0,49,0,0,3,0,0,0,0,0,0,0,0,0,3.94
61737,ACCY,451,Advanced Income Tax Problems,A3,LCD,120241,"Alt, Amanda J",10,2,5,1,2,0,0,1,1,0,0,0,0,0,3.65
61739,ACCY,451,Advanced Income Tax Problems,B3,LCD,120241,"Holder, Daniel E",0,15,0,0,11,0,0,4,0,0,1,0,0,0,3.33
61743,ACCY,451,Advanced Income Tax Problems,D3,LCD,120241,"Holder, Charles B",0,15,1,1,1,0,1,2,0,0,0,0,0,0,3.64
65160,ACCY,451,Advanced Income Tax Problems,E3,LCD,120241,"Alt, Amanda J",11,7,2,0,5,2,1,2,1,0,0,0,0,0,3.5
67786,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",IMB,ONL,120241,"Urcan, Oktay",320,119,33,26,17,4,0,0,0,1,0,0,3,0,3.88
68872,ACCY,501,Accounting Analysis I A,DA1,ONL,120241,"Augusto Sampaio, Gerlando",11,39,14,13,9,1,0,2,0,0,0,0,5,1,3.49
68873,ACCY,501,Accounting Analysis I B,DB1,ONL,120241,"Augusto Sampaio, Gerlando",24,22,16,10,9,4,5,2,1,0,0,0,3,0,3.45
67590,ACCY,502,Accounting Analysis II A,DA1,ONL,120241,"Evans, Margaret C",21,33,14,15,16,5,6,5,3,0,0,0,0,2,3.45
67591,ACCY,502,Accounting Analysis II B,DB1,ONL,120241,"Evans, Margaret C",16,36,10,12,19,9,4,7,2,0,0,0,0,0,3.41
44637,ACCY,503,Managerial Accounting,A4,LCD,120241,"Herbold, T J",0,8,5,5,12,2,5,3,0,0,0,0,0,0,3.15
67610,ACCY,503,Managerial Accounting A,DA1,ONL,120241,"Hecht, Gary W",18,51,30,30,21,3,3,3,1,0,0,0,2,0,3.53
67611,ACCY,503,Managerial Accounting B,DB1,ONL,120241,"Hecht, Gary W",23,70,25,15,14,6,4,3,1,0,0,0,2,1,3.61
69063,ACCY,503,Managerial Accounting,IMB,ONL,120241,"Chen, Xiaoling",525,257,82,27,27,11,5,6,4,1,1,0,18,0,3.8
69208,ACCY,503,Managerial Accounting,ONL,ONL,120241,"Chen, Xiaoling",34,19,6,4,3,1,2,0,0,0,0,0,8,0,3.42
67722,ACCY,507,Taxation of Bus Entities A,DA1,ONL,120241,"Evans, Margaret C",5,26,13,8,9,3,2,0,0,0,1,0,0,0,3.57
67725,ACCY,507,Taxation of Bus Entities B,DB1,ONL,120241,"Evans, Margaret C",18,24,0,14,3,2,1,0,0,0,0,1,0,0,3.68
46889,ACCY,510,Financial Reporting Standards,C,LCD,120241,"Persson, Martin E",0,12,3,4,8,2,1,0,0,0,0,0,0,0,3.47
46890,ACCY,510,Financial Reporting Standards,D,LCD,120241,"Persson, Martin E",0,10,5,4,16,1,0,0,0,0,0,0,0,0,3.4
30434,ACCY,512,Data Analytics for Mgmt Acctg,A,LCD,120241,"Wang, Wei",0,20,2,4,0,1,0,0,0,0,0,0,0,0,3.83
30436,ACCY,512,Data Analytics for Mgmt Acctg,B,LCD,120241,"Wang, Wei",0,11,7,2,1,0,0,0,0,0,0,0,0,0,3.78
72663,ACCY,517,Financial Statement Analysis,DB1,ONL,120241,"Brown, Nerissa",3,13,8,2,0,0,0,0,0,0,0,0,0,0,3.85
63201,ACCY,517,Financial Statement Analysis,G4,LCD,120241,"Hamm, Brian K",0,16,5,0,1,0,0,0,0,0,0,0,0,0,3.88
64808,ACCY,518,Financial Statement Fraud,B,LCD,120241,"Nekrasz, Frank",25,4,0,1,0,0,0,0,0,0,0,0,0,0,3.98
76060,ACCY,519,Govt & NFP Accounting,DA1,ONL,120241,"Ulla, Jennifer W",6,3,3,2,1,4,2,0,0,0,0,0,0,1,3.43
63205,ACCY,551,Corporate Income Taxation,A,LCD,120241,"Hutchens, Matthew",2,3,6,6,3,1,0,0,0,0,0,0,0,0,3.51
30440,ACCY,552,Partnership Income Taxation,B,LCD,120241,"Sternburg, Thomas",1,14,7,5,8,0,0,0,0,0,0,0,0,0,3.61
68538,ACCY,571,Stat Analyses for Accountancy,A,LCD,120241,"Lu, Zhenzhong L",2,13,8,1,0,0,0,0,0,0,0,0,0,0,3.86
74806,ACCY,574,Risk Management and Innovation,IMB,ONL,120241,"Leiby, Justin",0,94,5,1,1,1,1,1,0,0,0,0,1,0,3.88
67002,ACCY,575,Data Analytics Apps in ACCY,C,LCD,120241,"Penn, Michael W",0,14,8,7,1,0,0,0,0,0,0,0,0,0,3.72
66491,ACCY,575,Data Analytics Apps in ACCY,D,LCD,120241,"Penn, Michael W",6,23,1,1,0,0,0,0,0,0,0,0,0,0,3.97
66492,ACCY,575,Data Analytics Apps in ACCY,E,LCD,120241,"Zhu, Wei",6,15,4,6,1,0,0,0,0,0,0,0,0,0,3.8
66493,ACCY,575,Data Analytics Apps in ACCY,F,LCD,120241,"Zhu, Wei",10,12,3,3,1,0,0,0,1,0,0,0,0,0,3.79
