CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
39229,KIN,142,Contemporary Issues in Sport,ONL,ONL,120185,"Sydnor, Synthia",,,,,0,29,0,0,3,0,0,2,0,0,1,0,1,0,3.61
38400,LA,314,History of World Landscapes,A,ONL,120185,"Kraszewska, Katherine T",,,,,10,20,1,3,1,1,1,1,0,0,1,0,0,0,3.71
39676,LER,522,Government Regulation,B1,ONL,120185,"Leroy, Michael H",,,,,0,27,0,1,1,0,0,0,0,0,0,0,0,0,3.94
39186,LER,542,Collective Bargaining,A,ONL,120185,"Avgar, Ariel C",,,,,0,12,6,1,1,0,0,1,0,0,0,0,0,0,3.73
38774,LER,590,Fundamentals of Business & Man,FBM,ONL,120185,"Neuman, Eric J",,,,,4,16,4,2,1,0,0,0,0,0,0,0,0,0,3.86
38331,LING,489,Theoretical Foundations of SLA,S14,ONL,120185,"Sadler, Randall W",,,,,8,11,0,0,1,2,0,0,0,0,0,0,3,0,3.36
36795,MACS,356,Sex & Gender in Popular Media,A,ONL,120185,"Robinson, Jessica L",,,,,0,9,4,1,2,2,0,1,0,0,1,0,1,0,3.25
36762,MATH,220,Calculus,E1,LCD,120185,"Ahmed, Iftikhar",,,,,3,5,2,3,3,4,4,1,2,1,0,0,1,0,2.93
38307,MATH,231,Calculus II,ONL,ONL,120185,"Carpenter, Bruce",,,,,0,6,2,5,7,3,0,4,1,0,2,0,3,2,2.69
33478,MATH,241,Calculus III,D1,LCD,120185,"Nell, Travis",,,,,2,3,5,4,6,3,1,2,0,2,0,1,2,0,2.82
38309,MATH,241,Calculus III,ONL,ONL,120185,"Carpenter, Bruce",,,,,1,4,8,4,4,4,1,2,1,1,0,0,7,1,2.56
38310,MATH,285,Intro Differential Equations,ONL,ONL,120185,"Carpenter, Bruce",,,,,0,5,3,2,5,0,0,2,1,0,1,1,1,0,2.86
33003,MATH,347,Fundamental Mathematics,C1,LCD,120185,"Petrickova, Sarka",,,,,2,4,2,1,4,1,1,2,1,1,1,0,1,0,2.84
36763,MATH,415,Applied Linear Algebra,E3,LCD,120185,"Bergvelt, Maarten J",,,,,4,9,8,8,1,5,4,2,0,4,1,0,3,0,2.94
38313,MATH,415,Applied Linear Algebra,ONL,ONL,120185,"Carpenter, Bruce",,,,,0,8,12,3,8,3,5,2,2,0,1,0,0,0,3.14
39056,MATH,444,Elementary Real Analysis,ONL,ONL,120185,"McCarthy, Randy",,,,,0,3,2,2,8,3,0,2,1,0,0,0,0,1,3.03
38314,MATH,461,Probability Theory,ONL,ONL,120185,"Carpenter, Bruce",,,,,0,10,1,3,1,2,0,2,2,0,0,0,1,1,3.15
36346,MCB,150,Molec & Cellular Basis of Life,ONL,ONL,120185,"Mehrtens, Bradley G",,,,,3,4,8,5,4,10,6,15,3,4,1,2,1,2,2.57
30036,MCB,250,Molecular Genetics,ADA,DIS,120185,"Kirchner, Nicholas C",,,,,6,5,0,0,2,2,1,0,4,1,0,0,0,1,3.13
39658,MCB,252,"Cells, Tissues & Development",ONL,ONL,120185,"Rivier, David H",,,,,5,8,4,3,4,5,1,3,2,0,0,0,0,1,3.25
30102,MUS,130,Introd to the Art of Music,A,ONL,120185,"Magee, Gayle S",,,,,22,8,0,1,2,1,0,0,0,0,0,1,0,0,3.79
38470,MUS,130,Introd to the Art of Music,B,ONL,120185,"Magee, Gayle S",,,,,37,15,1,3,1,2,0,1,1,1,1,0,1,0,3.69
