Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
MBA,562,40561,Intro to Bus Analyt: CommData,IMB,ONL,783,77,8,1,5,1,3,3,1,0,1,0,4,3,3.95,"Hartman, Kevin E"
MBA,562,40562,Intro to Bus Analyt: CommData,ONL,ONL,20,1,0,0,0,0,0,0,0,0,0,0,1,0,3.82,"Hartman, Kevin E"
MBA,563,40563,Data Toolkit,IMB,ONL,475,103,57,28,13,1,4,3,0,0,1,0,10,4,3.85,"Guymon, Ronald N"
MBA,565,40542,Infonomics,IMB,ONL,23,87,70,31,45,14,5,4,3,0,0,0,1,1,3.52,"Laney, Douglas B"
MCB,150,36346,Molec & Cellular Basis of Life,ONL,ONL,5,4,2,2,3,4,2,4,4,5,1,0,1,3,2.61,"Mehrtens, Bradley G"
MCB,244,36047,Human Anatomy & Physiology I,A,OLC,4,2,7,4,6,6,4,4,3,2,0,0,3,0,2.71,"Brown, Chester M"
MCB,245,36048,Human Anat & Physiol Lab I,A,OLB,1,3,1,4,3,0,4,0,1,1,1,2,2,0,2.46,"Joesting, Jennifer J"
MCB,252,39658,"Cells, Tissues & Development",ONL,ONL,8,4,4,6,4,2,3,2,2,2,1,2,2,0,2.84,"Rivier, David H"
MCB,317,40304,Genetics and Genomics,ONL,ONL,2,14,0,3,10,0,0,5,0,0,1,0,1,0,3.19,"Rivier, David H"
MCB,450,30724,Introductory Biochemistry,A,ONL,7,13,5,4,5,8,5,6,1,2,0,0,1,0,3.09,"Alt, Renee L"
MUS,130,30102,Music Then and Now,A,ONL,15,9,4,3,0,5,2,0,1,0,1,0,3,1,3.29,"Magee, Gayle S"
MUS,130,38470,Music Then and Now,B,ONL,11,8,5,1,1,1,2,1,1,1,0,2,3,0,3.09,"Magee, Gayle S"
MUS,132,38377,History of Rock,A,ONL,45,35,7,7,3,5,1,3,2,0,1,0,0,1,3.71,"Eagen, Megan K"
MUS,132,38696,History of Rock,B,ONL,32,25,8,6,2,2,2,4,3,2,0,0,3,1,3.47,"Eagen, Megan K"
MUS,133,30111,Introduction to World Music,B,ONL,34,7,0,1,1,0,0,0,1,0,0,0,0,2,3.91,"Silvers, Michael B"
MUS,133,30114,Introduction to World Music,C,ONL,35,6,2,3,3,2,0,1,0,0,0,0,0,0,3.8,"Tsekouras, Ioannis"
NPRE,402,38743,Nuclear Power Engineering,D3,ONL,4,9,5,4,2,0,2,0,0,0,0,0,0,0,3.63,"Ragheb, Magdi"
NRES,472,37527,Environmental Psychology,XM3,ONL,0,27,0,0,1,0,0,1,0,0,0,0,1,0,3.77,"Browning, Matthew"
PHYS,101,30232,College Physics: Mech & Heat,A,OLC,12,7,4,5,8,7,5,4,0,4,0,1,0,2,3.08,"Shoaf, Curtis M"
PHYS,102,30239,College Physics: E&M & Modern,A,OLC,9,8,4,3,6,4,3,3,4,2,1,4,1,0,2.83,"Carrubba, James G"
PHYS,211,30254,University Physics: Mechanics,A,OLC,8,3,8,3,2,2,3,5,2,1,3,0,2,0,2.84,"Rosenblatt, Rebecca J"
PHYS,212,30264,University Physics: Elec & Mag,A,OLC,13,12,4,5,3,3,2,4,2,2,3,6,2,2,2.85,"Chamberlain, Robert T"
PHYS,213,30275,Univ Physics: Thermal Physics,A,OLC,12,16,3,6,6,13,1,3,3,4,0,2,1,1,3.08,"Makins, Naomi C"
PHYS,214,30282,Univ Physics: Quantum Physics,A,OLC,14,4,8,7,3,6,2,6,1,0,0,0,1,1,3.23,"Makins, Naomi C"
PS,201,40504,US Racial & Ethnic Politics,ONL,ONL,0,10,0,2,3,4,0,2,1,0,1,1,8,0,2.3,"Steur, James R"
PS,385,38327,Politics of the European Union,ONL,ONL,5,8,2,2,1,0,1,0,1,0,1,1,2,0,3.11,"Jung, Seyoung"
PSYC,100,39086,Intro Psych,1ON,ONL,6,10,4,1,8,5,4,7,1,1,1,0,7,0,2.67,"Shenouda, Christine K"
PSYC,100,31257,Intro Psych,2ON,ONL,2,6,3,5,7,5,3,4,1,1,2,0,6,1,2.53,"Shenouda, Christine K"
PSYC,204,40182,Intro to Brain and Cognition,1ON,ONL,3,3,10,2,2,5,1,1,0,0,0,0,1,0,3.25,"Dolcos, Sanda M"
PSYC,313,41316,"Drugs, Brain and Behavior",2ON,ONL,2,5,3,2,5,3,5,4,4,1,5,0,2,0,2.47,"Gulley, Joshua M"
PSYC,336,32934,Topics in Clin/Comm Psych,1ON,ONL,0,17,7,5,8,2,2,1,0,0,0,0,1,0,3.4,"Cohen, Joseph R"
PSYC,363,33558,Developmental Child Psych Lab,AL2,OLC,3,5,2,4,4,2,0,2,1,1,0,0,8,1,2.41,"Shenouda, Christine K"
REHB,330,40815,Disability in American Society,ON2,ONL,2,3,4,4,2,3,3,4,0,1,0,0,1,0,2.9,"Rice, Laura A"
REL,110,39629,World Religions,LN1,OLC,0,32,4,2,6,1,1,1,0,1,1,0,2,1,3.46,"Ebel, Jonathan H"
RST,100,36932,RST in Modern Society,ONL,ONL,2,8,5,2,1,2,0,0,0,2,0,0,0,0,3.46,"Pazmino, Jazmin"
RST,118,41139,Student-Athlete Transition,SAT,ONL,14,11,7,5,1,1,1,1,0,0,0,0,0,0,3.72,"Santos, Carla A"
RST,130,36933,Foundations of Sport Mgt,ONL,ONL,2,10,3,3,4,2,2,7,0,1,0,1,1,1,2.97,"Chen, Guangzhou"
RST,242,37835,Nature and American Culture,ONL,ONL,0,22,0,0,8,0,0,4,0,0,0,0,1,0,3.43,"Farr, Jeffrey R"
RST,593,36188,Special Problems,XM,ONL,0,19,1,0,1,1,0,1,0,0,0,0,0,0,3.8,"Raycraft, Michael"
SBC,507,40965,Promotional Strategy,A,ONL,27,12,8,7,2,3,0,2,1,2,0,0,0,0,3.61,"Nelson, Michelle R"
SBC,509,39510,Strategic Media Management,A,ONL,41,7,9,3,2,1,1,0,1,0,0,0,1,0,3.75,"Yao, Mike Z"
SHS,121,35696,American Sign Language I,A,ONL,8,10,3,0,5,1,1,1,0,0,2,0,2,0,3.24,"Colon, Carlos"
SHS,577,35659,Advanced Practicum in SHS,M,DIS,12,10,5,2,1,0,0,0,0,0,0,0,0,0,3.87,"Mendes, Clarion C"
SOC,100,38720,Introduction to Sociology,DS1,ONL,0,37,2,2,4,5,1,0,0,0,4,0,1,1,3.46,"Steward, Daniel J"
SOC,101,39088,Sociology of Gender,ONL,ONL,7,5,2,3,2,1,1,0,1,0,1,0,4,0,2.93,"Moussawi, Ghassan"
SOC,161,39709,Introduction to Poverty,BD,ONL,0,7,1,1,1,5,2,0,4,0,1,0,3,0,2.55,"Dill, Brian"
SOC,310,36338,Sociology of Deviance,ONL,ONL,20,6,1,1,0,0,1,1,0,0,0,0,0,0,3.84,"Atiles Osoria, Jose M"
SOCW,400,30378,Generalist SW Practice Methods,C,ONL,0,23,0,0,1,0,0,0,0,0,0,0,0,0,3.96,"Harden, Kimberly L"
SOCW,410,34358,Social Welfare Pol and Svcs,21A,ONL,8,9,6,1,0,0,0,0,0,0,0,0,0,0,3.89,"Sinha, Gaurav R"
SOCW,410,38379,Social Welfare Pol and Svcs,21B,ONL,8,12,5,0,1,0,0,0,0,0,0,0,0,0,3.9,"Sinha, Gaurav R"
SOCW,416,41019,Child Welfare Issues & Trends,20A,ONL,0,22,4,1,2,0,0,1,0,0,0,0,0,0,3.8,"Lindsey, Brenda C"
SOCW,436,38270,Intl SW & Development,20A,ONL,9,5,4,1,1,0,0,0,1,0,0,0,0,0,3.75,"Akhtar, Whitney M"
SOCW,451,41010,HBSE I: Human Development,21D,OLC,23,1,0,1,1,0,0,0,0,0,0,0,0,0,3.94,"Houston, Elisabeth A"
SOCW,451,37990,HBSE I: Human Development,A,ONL,23,1,3,0,0,0,0,0,0,0,0,0,1,0,3.82,"Kingery, Linda S"
