Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS
2023,Spring,2023-sp,ART 240,Learning Through Contemporary Art,,,LA,,,
2023,Spring,2023-sp,ART 280,Exploring Visual Culture,,WCC,LA,,,
2023,Spring,2023-sp,ART 310,Design Thinking,,,LA,,,
2023,Spring,2023-sp,ARTD 240,eWaste: Sustainable Design,,,LA,,,
2023,Spring,2023-sp,ARTH 110,Introduction to the History of Art and Visual Culture,,WCC,LA,,,
2023,Spring,2023-sp,ARTH 111,Ancient to Medieval Art,,,LA,,,
2023,Spring,2023-sp,ARTH 112,Renaissance to Modern Art,,,LA,,,
2023,Spring,2023-sp,ARTH 211,Design History Survey,,,LA,,,
2023,Spring,2023-sp,ARTH 212,East Asian Art History,,NW,LA,,,
2023,Spring,2023-sp,ARTH 214,Art in China,,NW,,,,
2023,Spring,2023-sp,ARTH 217,Development of Ancient Cities,,WCC,HP,,,
2023,Spring,2023-sp,ARTH 219,Islamic Gardens & Architecture,,NW,HP,,,
2023,Spring,2023-sp,ARTH 241,"Modern Art, 1880-1940",,,LA,,,
2023,Spring,2023-sp,ARTH 242,Art Since 1940,,,LA,,,
2023,Spring,2023-sp,ARTH 260,Graffiti and Murals,,WCC,LA,,,
2023,Spring,2023-sp,ARTJ 209,Chado (The Way of Tea),,NW,,,,
2023,Spring,2023-sp,ARTJ 301,Manga: The Art of Image and Word,,NW,LA,,,
2023,Spring,2023-sp,ARTJ 302,Intro to Japanese Animation,,NW,HP,,,
2023,Spring,2023-sp,ARTS 220,Introduction to Fashion,,,LA,,,
2023,Spring,2023-sp,ASST 104,Asian Mythology,,NW,HP,,,
2023,Spring,2023-sp,ASST 208,Cultures & Literatures of South Asia,,NW,LA,,,
2023,Spring,2023-sp,ASTR 100,Introduction to Astronomy,,,,PS,,
2023,Spring,2023-sp,ASTR 121,Solar System and Worlds Beyond,,,,PS,QR2,
2023,Spring,2023-sp,ASTR 122,Stars and Galaxies,,,,PS,QR2,
2023,Spring,2023-sp,ASTR 150,Killer Skies: Astro-Disasters,,,,PS,,
2023,Spring,2023-sp,ASTR 401,Scientific Writing for Astronomy,ACP,,,,,
2023,Spring,2023-sp,ASTR 490,Senior Thesis,ACP,,,,,
2023,Spring,2023-sp,ATMS 100,Introduction to Meteorology,,,,PS,,
2023,Spring,2023-sp,ATMS 120,Severe and Hazardous Weather,,,,PS,QR2,
2023,Spring,2023-sp,ATMS 140,Climate and Global Change,,,,PS,,
2023,Spring,2023-sp,ATMS 202,General Physical Climate,,,,,QR2,
2023,Spring,2023-sp,ATMS 315,Meteorological Instrumentation,ACP,,,,,
2023,Spring,2023-sp,ATMS 322,Soc Impacts Weather & Climate,,,,,,SS
2023,Spring,2023-sp,BADM 340,Ethical Dilemmas of Business,ACP,,,,,
2023,Spring,2023-sp,BCS 115,South Slavic Cultures,,NW,,,,SS
2023,Spring,2023-sp,BCS 215,Yugoslavia and After,,WCC,,,,
2023,Spring,2023-sp,BIOC 460,Biochemistry Senior Seminar,ACP,,,,,
2023,Spring,2023-sp,BTW 250,Principles Bus Comm,ACP,,,,,
2023,Spring,2023-sp,BTW 261,Principles Tech Comm,ACP,,,,,
2023,Spring,2023-sp,BTW 263,Writing in the Disciplines,ACP,,,,,
2023,Spring,2023-sp,BTW 280,Global Business Communication,ACP,,,,,
2023,Spring,2023-sp,BTW 285,Writing a Web Presence,ACP,,,,,
2023,Spring,2023-sp,CEE 300,Behavior of Materials,ACP,,,,,
2023,Spring,2023-sp,CHBE 101,Hidden World of Engineering,,,,PS,,
2023,Spring,2023-sp,CHBE 431,Process Design,ACP,,,,,
2023,Spring,2023-sp,CHEM 101,Introductory Chemistry,,,,PS,,
2023,Spring,2023-sp,CHEM 102,General Chemistry I,,,,PS,,
2023,Spring,2023-sp,CHEM 103,General Chemistry Lab I,,,,PS,,
2023,Spring,2023-sp,CHEM 104,General Chemistry II,,,,PS,,
2023,Spring,2023-sp,CHEM 105,General Chemistry Lab II,,,,PS,,
2023,Spring,2023-sp,CHEM 108,"Chemistry, Everyday Phenomena",,,,PS,,
2023,Spring,2023-sp,CHEM 202,Accelerated Chemistry I,,,,PS,,
2023,Spring,2023-sp,CHEM 204,Accelerated Chemistry II,,,,PS,,
2023,Spring,2023-sp,CHEM 317,Inorganic Chemistry Lab,ACP,,,,,
2023,Spring,2023-sp,CHEM 437,Organic Chemistry Lab,ACP,,,,,
2023,Spring,2023-sp,CHLH 100,Contemporary Health,,,,,,SS
2023,Spring,2023-sp,CHLH 101,Introduction to Public Health,,,,,,SS
2023,Spring,2023-sp,CHLH 244,Health Statistics,,,,,QR1,
2023,Spring,2023-sp,CHLH 260,Introduction to Medical Ethics,,,HP,,,
2023,Spring,2023-sp,CHLH 274,Introduction to Epidemiology,,,,,QR1,
2023,Spring,2023-sp,CHLH 304,Foundations of Health Behavior,ACP,,,,,BSC
2023,Spring,2023-sp,CHLH 330,Disability in American Society,,,,,,SS
2023,Spring,2023-sp,CHLH 421,Health Data Analysis,,,,,QR2,
2023,Spring,2023-sp,CHP 396,Interdisciplinary Seminar ACP,ACP,,,,,
2023,Spring,2023-sp,CI 210,Introduction to Digital Learning Environments,,,,,,BSC
2023,Spring,2023-sp,CLCV 114,Introduction to Ancient Greek Culture,,WCC,LA,,,
2023,Spring,2023-sp,CLCV 115,Mythology of Greece and Rome,,WCC,LA,,,
2023,Spring,2023-sp,CLCV 116,Introduction to Ancient Roman Culture,,WCC,HP,,,
2023,Spring,2023-sp,CLCV 120,The Classical Tradition,,WCC,LA,,,
2023,Spring,2023-sp,CLCV 131,"Classical Archaeology, Greece",,WCC,HP,,,
