Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code,Legacy Advising Code,Legacy Department Code,Legacy Major Name
2013,120138,LAS,585,PHD,305,Italian,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1,10KS0305PHD,,,
2013,120138,LAS,585,PHD,305,Italian,5080,Medieval Studies,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1,10KS0305PHD,,,
2012,120128,LAS,585,BALAS,305,Italian,,,3,2,1,0,2,0,0,1,0,0,0,0,0,0,0,,,3,0,10KV0305BALA,,,
2012,120128,LAS,585,MA,305,Italian,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,1,10KS0305MA,,,
2012,120128,LAS,585,PHD,305,Italian,,,3,1,2,0,2,0,0,0,0,0,0,1,0,0,0,,,0,3,10KS0305PHD,,,
2011,120118,LAS,585,BALAS,305,Italian,,,3,2,1,0,2,0,0,1,0,0,0,0,0,0,0,,,3,0,10KV0305BALA,,,
2011,120118,LAS,585,MA,305,Italian,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,1,10KS0305MA,,,
2011,120118,LAS,585,PHD,305,Italian,,,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,2,10KS0305PHD,,,
2010,120108,LAS,585,BALAS,305,Italian,,,5,1,4,0,3,0,0,2,0,0,0,0,0,0,0,,,5,0,10KV0305BALA,,,
2010,120108,LAS,585,MA,305,Italian,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1,10KS0305MA,,,
2010,120108,LAS,585,PHD,305,Italian,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,10KS0305PHD,,,
2009,120098,LAS,585,BALAS,305,Italian,,,8,3,5,0,3,1,0,4,0,,,0,0,,,,,8,0,10KV0305BALA,,,
2009,120098,LAS,585,MA,305,Italian,,,4,3,1,0,3,0,0,0,0,,,1,0,,,,,2,2,10KS0305MA,,,
2009,120098,LAS,585,PHD,305,Italian,,,2,0,2,0,0,0,0,0,0,,,2,0,,,,,0,2,10KS0305PHD,,,
2008,120088,LAS,585,BALAS,305,Italian,,,7,3,4,0,1,0,0,6,0,,,0,0,,,,,7,0,10KV0305BALA,,,
2008,120088,LAS,585,BALAS,305,Italian,,,1,0,1,0,0,1,0,0,0,,,0,0,,,,,1,0,10KV8037BALA,,,
2008,120088,LAS,585,MA,305,Italian,,,3,2,1,0,1,0,0,0,0,,,2,0,,,,,1,2,10KS0305MA,,,
2008,120088,LAS,585,PHD,305,Italian,,,3,0,3,0,0,0,0,1,0,,,2,0,,,,,0,3,10KS0305PHD,,,
2007,120078,LAS,585,BALAS,305,Italian,,,6,4,2,0,4,0,0,2,0,,,0,0,,,,,6,0,10KV0305BALA,,,
2007,120078,LAS,585,BALAS,305,Italian,,,1,0,1,0,0,1,0,0,0,,,0,0,,,,,1,0,10KV8037BALA,,,
2007,120078,LAS,585,MA,305,Italian,,,2,1,1,0,0,0,0,0,0,,,2,0,,,,,0,2,10KS0305MA,,,
2007,120078,LAS,585,PHD,305,Italian,,,2,0,2,0,0,0,0,2,0,,,0,0,,,,,0,2,10KS0305PHD,,,
2006,120068,LAS,585,BALAS,305,Italian,,,6,1,5,0,5,1,0,0,0,,,0,0,,,,,6,0,10KV0305BALA,,,
2006,120068,LAS,585,BALAS,305,Italian,,,1,0,1,0,0,1,0,0,0,,,0,0,,,,,1,0,10KV8037BALA,,,
2006,120068,LAS,585,MA,305,Italian,,,2,0,2,0,0,0,0,1,0,,,1,0,,,,,1,1,10KS0305MA,,,
2006,120068,LAS,585,PHD,305,Italian,,,3,1,2,0,0,0,0,2,0,,,1,0,,,,,0,3,10KS0305PHD,,,
2005,120058,LAS,585,MA,305,Italian,,,1,0,1,0,1,0,0,0,0,,,0,0,,,,,1,0,10KS0305MA,,,
2005,120058,LAS,585,BALAS,305,Italian,,,7,1,6,0,6,1,0,0,0,,,0,0,,,,,7,0,10KV0305BALA,,,
2005,120058,LAS,585,PHD,305,Italian,,,2,1,1,0,0,0,0,1,0,,,1,0,,,,,0,2,10KS0305PHD,,,
2004,120048,LAS,585,BALAS,305,Italian,,,6,1,5,0,5,1,0,0,0,,,0,0,,,,,6,0,10KV0305BALA,,,
2004,120048,LAS,585,MA,305,Italian,,,1,0,1,0,1,0,0,0,0,,,0,0,,,,,1,0,10KS0305MA,,,
2004,120048,LAS,585,PHD,305,Italian,,,3,1,2,0,0,0,0,2,0,,,1,0,,,,,0,3,10KS0305PHD,,,
1980,,LAS,,,,Italian,,,2,2,,,2,,,,,,,,,,,,,2,,,3272,3272,ITALIAN
1981,,LAS,,,,Italian,,,5,2,3,1,3,,,1,,,,,,,,,,4,1,,3272,3272,ITALIAN
1982,,LAS,,,,Italian,,,5,2,3,,4,,,1,,,,,,,,,,4,1,,3272,3272,ITALIAN
1983,,LAS,,,,Italian,,,5,1,4,,5,,,,,,,,,,,,,5,,,3272,3272,ITALIAN
1984,,LAS,,,,Italian,,,6,1,5,,4,,,,,,,2,,,,,,4,2,,3272,3272,ITALIAN
1985,,LAS,,,,Italian,,,6,2,4,,4,,,,,,,2,,,,,,3,3,,3272,3272,ITALIAN
1986,,LAS,,,,Italian,,,9,3,6,,8,,,,,,,1,,,,,,6,3,,3272,3272,ITALIAN
1987,,LAS,,,,Italian,,,6,3,3,,5,,,,,,,1,,,,,,4,2,,3272,3272,ITALIAN
1988,,LAS,,,,Italian,,,7,2,5,1,6,,,,,,,,,,,,,7,,,3272,3272,ITALIAN
1989,,LAS,,,,Italian,,,2,,2,1,1,,,,,,,,,,,,,2,,,3272,3272,ITALIAN
1990,,LAS,,,,Italian,,,4,,4,,2,,,,,,,2,,,,,,2,2,,3272,3272,ITALIAN
1991,,LAS,,,,Italian,,,5,,5,,3,,,,,,,2,,,,,,2,3,,3272,3272,ITALIAN
1992,,LAS,,,,Italian,,,5,1,4,,4,,,,,,,1,,,,,,2,3,,3272,3272,ITALIAN
1993,,LAS,,,,Italian,,,6,1,5,,4,,,,,,,2,,,,,,2,4,,3272,3272,ITALIAN
1994,,LAS,,,,Italian,,,6,1,5,,4,,,,,,,2,,,,,,2,4,,3272,3272,ITALIAN
1995,,LAS,,,,Italian,,,5,,5,,3,,,,,,,2,,,,,,1,4,,3272,3272,ITALIAN
1996,,LAS,,,,Italian,,,6,,6,,1,,,1,,,,4,,,,,,0,6,,3272,3272,ITALIAN
1997,,LAS,,,,Italian,,,7,,7,,2,,,1,,,,4,,,,,,0,7,,3272,3272,ITALIAN
1998,,LAS,,,,Italian,,,4,,4,,1,,,1,,,,2,,,,,,0,4,,3272,3272,ITALIAN
1999,,LAS,,,,Italian,,,6,,6,,1,,,1,,,,4,,,,,,0,6,,3272,3272,ITALIAN
2000,,LAS,,,,Italian,,,3,,3,,1,,,1,,,,1,,,,,,0,3,,3272,3272,ITALIAN
2001,,LAS,,,,Italian,,,4,,4,,2,,,1,,,,1,,,,,,0,4,,3272,3272,ITALIAN
2002,,LAS,,,,Italian,,,4,1,3,,2,,,1,,,,1,,,,,,0,4,,3272,3272,ITALIAN
2003,,LAS,,,,Italian,,,3,1,2,,1,,,,,,,2,,,,,,0,3,,3272,3272,ITALIAN
2018,120188,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,31,25,6,0,16,2,3,4,0,0,5,1,0,4,1,2,5,24,7,10KR5045BMUS,,,
2017,120178,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,28,23,5,0,16,3,4,2,0,0,3,0,0,5,1,1,4,24,4,10KR5045BMUS,,,
2016,120168,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,37,32,5,0,21,3,7,0,0,0,4,1,1,8,2,2,5,31,6,10KR5045BMUS,,,
2015,120158,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,31,30,1,0,20,1,6,0,0,0,2,0,2,6,0,2,2,27,4,10KR5045BMUS,,,
2014,120148,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,27,24,3,0,18,0,5,0,0,0,1,1,2,5,0,1,1,23,4,10KR5045BMUS,,,
2013,120138,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,22,19,3,0,18,0,3,0,0,0,0,0,1,3,0,,,20,2,10KR5045BMUS,,,
2012,120128,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,22,20,2,0,19,1,2,0,0,0,0,0,0,2,0,,,19,3,10KR5045BMUS,,,
2011,120118,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,27,23,4,0,23,1,2,1,0,0,0,0,0,2,0,,,23,4,10KR5045BMUS,,,
2010,120108,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,33,27,6,0,28,1,3,1,0,0,0,0,0,3,0,,,26,7,10KR5045BMUS,,,
2009,120098,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,41,36,5,0,30,2,5,2,1,,,0,1,,,,,32,9,10KR5045BMUS,,,
2008,120088,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,38,35,3,0,31,2,2,1,1,,,0,1,,,,,30,8,10KR5045BMUS,,,
2007,120078,Fine and Applied Arts,495,BMUS,5045,Jazz Performance,,,21,20,1,0,18,2,0,0,0,,,0,1,,,,,16,5,10KR5045BMUS,,,
2018,120188,Media,642,BS,278,Journalism,,,222,87,135,0,126,15,25,31,1,0,11,11,2,30,3,1,20,197,25,10KT0278BS,,,
2018,120188,Media,642,MS,278,Journalism,,,5,3,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,2,10KS0278MS,,,
2018,120188,Media,642,MS,278,Journalism,5473,BS/MS Journalism,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS5473MS,,,
2017,120178,Media,642,BS,278,Journalism,,,232,81,151,0,127,19,29,33,1,0,9,14,0,32,2,0,24,203,29,10KT0278BS,,,
2017,120178,Media,642,MS,278,Journalism,,,6,2,4,0,5,0,0,0,0,0,0,1,0,0,0,0,0,5,1,10KS0278MS,,,
2017,120178,Media,642,MS,278,Journalism,5473,BS/MS Journalism,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KS5473MS,,,
2016,120168,Media,642,BS,278,Journalism,,,201,75,126,0,111,15,27,27,1,0,9,11,0,32,4,1,21,175,26,10KT0278BS,,,
2016,120168,Media,642,MS,278,Journalism,,,6,0,6,0,4,1,1,0,0,0,0,0,0,1,0,0,1,5,1,10KS0278MS,,,
2016,120168,Media,642,MS,278,Journalism,5473,BS/MS Journalism,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10KS5473MS,,,
2015,120158,Media,642,MS,278,Journalism,5473,BS/MS Journalism,2,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,10KS5473MS,,,
2015,120158,Media,642,MS,278,Journalism,,,8,3,5,0,4,0,1,1,0,0,0,2,0,1,0,0,0,6,2,10KS0278MS,,,
2015,120158,Media,642,BS,278,Journalism,,,131,49,82,0,68,11,20,19,0,0,5,7,1,23,0,1,14,110,21,10KT0278BS,,,
2014,120148,Media,642,MS,278,Journalism,,,10,3,7,0,5,0,1,0,0,0,0,4,0,1,0,0,0,4,6,10KS0278MS,,,
2014,120148,Media,642,BS,278,Journalism,,,80,24,56,0,38,10,13,10,0,0,2,7,0,13,0,0,12,64,16,10KT0278BS,,,
2013,120138,Media,642,MS,278,Journalism,,,13,5,8,0,6,0,0,1,0,0,1,4,1,1,1,,,8,5,10KS0278MS,,,
2012,120128,Media,642,MS,278,Journalism,,,11,9,2,0,5,0,1,0,0,0,1,4,0,1,0,,,6,5,10KS0278MS,,,
2011,120118,Media,642,MS,278,Journalism,,,13,4,9,0,9,0,1,0,0,0,1,2,0,2,0,,,6,7,10KS0278MS,,,
2010,120108,Media,642,MS,278,Journalism,,,20,7,13,0,16,1,1,0,0,0,0,2,0,1,0,,,16,4,10KS0278MS,,,
2009,120098,Media,642,MS,278,Journalism,,,25,8,17,0,13,2,4,1,0,,,4,1,,,,,18,7,10KS0278MS,,,
2008,120088,Media,642,MS,278,Journalism,,,26,12,14,0,17,0,3,2,0,,,4,0,,,,,17,9,10KS0278MS,,,
2007,120078,Media,642,MS,278,Journalism,,,26,14,12,0,22,0,0,2,0,,,2,0,,,,,19,7,10KS0278MS,,,
2006,120068,Media,642,MS,278,Journalism,,,26,10,16,0,21,0,1,0,0,,,4,0,,,,,15,11,10KS0278MS,,,
2005,120058,Media,642,MS,278,Journalism,,,31,11,20,0,24,1,2,0,0,,,4,0,,,,,23,8,10KS0278MS,,,
2004,120048,Media,642,MS,278,Journalism,,,33,9,24,0,24,1,2,1,0,,,3,2,,,,,18,15,10KS0278MS,,,
1980,,Media,,,,Journalism,,,171,62,109,1,,1,2,161,6,,,1,,,,,,0,170,,2810,2810,JOURN
1981,,Media,,,,Journalism,,,2,2,,,2,,,,,,,,,,,,,2,,,2810,2810,JOURN
1980,,Media,,,,Journalism,,,32,13,19,1,1,,,28,2,,,7,,,,,,0,25,,2810,2810,JOURNALISM
1981,,Media,,,,Journalism,,,43,21,22,1,35,1,2,,,,,4,,,,,,31,12,,2810,2810,JOURNALISM
1982,,Media,,,,Journalism,,,37,16,21,2,2,1,1,31,,,,7,,,,,,0,30,,2810,2810,JOURNALISM
1983,,Media,,,,Journalism,,,48,23,25,2,34,,3,5,,,,4,,,,,,35,13,,2810,2810,JOURNALISM
1984,,Media,,,,Journalism,,,47,23,24,1,1,3,,36,6,,,16,,,,,,0,31,,2810,2810,JOURNALISM
1985,,Media,,,,Journalism,,,37,15,22,,32,1,2,1,,,,1,,,,,,29,8,,2810,2810,JOURNALISM
1986,,Media,,,,Journalism,,,33,14,19,1,27,,1,,,,,4,,,,,,26,7,,2810,2810,JOURNALISM
1987,,Media,,,,Journalism,,,34,13,21,,26,,1,,3,,,4,,,,,,22,12,,2810,2810,JOURNALISM
1988,,Media,,,,Journalism,,,29,10,19,1,23,,1,1,,,,3,,,,,,19,10,,2810,2810,JOURNALISM
1989,,Media,,,,Journalism,,,28,11,17,1,24,,,1,,,,2,,,,,,18,10,,2810,2810,JOURNALISM
1990,,Media,,,,Journalism,,,34,12,22,3,26,,2,,,,,3,,,,,,22,12,,2810,2810,JOURNALISM
1991,,Media,,,,Journalism,,,30,9,21,1,24,1,1,,,,,3,,,,,,18,12,,2810,2810,JOURNALISM
1992,,Media,,,,Journalism,,,25,13,12,,23,,1,,,,,1,,,,,,20,5,,2810,2810,JOURNALISM
1993,,Media,,,,Journalism,,,28,13,15,1,26,,1,,,,,,,,,,,19,9,,2810,2810,JOURNALISM
1994,,Media,,,,Journalism,,,29,10,19,2,24,,2,,,,,1,,,,,,21,8,,2810,2810,JOURNALISM
1995,,Media,,,,Journalism,,,30,9,21,2,25,1,,1,,,,1,,,,,,15,15,,2810,2810,JOURNALISM
1996,,Media,,,,Journalism,,,26,12,14,2,21,1,,,,,,2,,,,,,17,9,,2810,2810,JOURNALISM
1997,,Media,,,,Journalism,,,24,13,11,,19,4,,,,,,1,,,,,,15,9,,2810,2810,JOURNALISM
1998,,Media,,,,Journalism,,,24,10,14,,13,2,6,,,,,3,,,,,,13,11,,2810,2810,JOURNALISM
1999,,Media,,,,Journalism,,,23,12,11,,14,1,4,,,,,4,,,,,,16,7,,2810,2810,JOURNALISM
2000,,Media,,,,Journalism,,,23,9,14,1,14,1,2,1,,,,4,,,,,,13,10,,2810,2810,JOURNALISM
2001,,Media,,,,Journalism,,,28,9,19,1,13,1,3,,,,,10,,,,,,13,15,,2810,2810,JOURNALISM
2002,,Media,,,,Journalism,,,30,6,24,1,20,2,3,,,,,4,,,,,,20,10,,2810,2810,JOURNALISM
2003,,Media,,,,Journalism,,,29,8,21,4,20,2,2,,,,,1,,,,,,17,12,,2810,2810,JOURNALISM
1980,,Applied Health Sciences,,,,Kinesiology,,,60,36,24,,48,,2,,,,,10,,,,,,23,37,,3615,3615,KINES
1980,,Applied Health Sciences,,,,Kinesiology,,,208,89,119,2,192,1,6,3,1,,,3,,,,,,190,18,,3615,3615,KINES
1981,,Applied Health Sciences,,,,Kinesiology,,,76,41,35,3,54,,3,,,,,16,,,,,,29,47,,3615,3615,KINES
1981,,Applied Health Sciences,,,,Kinesiology,,,208,103,105,2,198,1,3,1,,,,3,,,,,,195,13,,3615,3615,KINES
1982,,Applied Health Sciences,,,,Kinesiology,,,59,34,25,3,39,,1,,,,,16,,,,,,18,41,,3615,3615,KINES
1982,,Applied Health Sciences,,,,Kinesiology,,,194,86,108,1,179,,5,4,1,,,4,,,,,,175,19,,3615,3615,KINES
1983,,Applied Health Sciences,,,,Kinesiology,,,76,44,32,1,54,2,,,1,,,18,,,,,,26,50,,3615,3615,KINES
1983,,Applied Health Sciences,,,,Kinesiology,,,160,88,72,2,145,2,2,5,,,,4,,,,,,145,15,,3615,3615,KINES
1984,,Applied Health Sciences,,,,Kinesiology,,,99,54,45,6,70,2,1,,,,,20,,,,,,40,59,,3615,3615,KINES
1984,,Applied Health Sciences,,,,Kinesiology,,,152,66,86,7,135,1,2,3,1,,,3,,,,,,145,7,,3615,3615,KINES
1985,,Applied Health Sciences,,,,Kinesiology,,,110,62,48,5,77,2,,,,,,26,,,,,,43,67,,3615,3615,KINES
1985,,Applied Health Sciences,,,,Kinesiology,,,137,76,61,,121,5,5,3,1,,,2,,,,,,125,12,,3615,3615,KINES
1986,,Applied Health Sciences,,,,Kinesiology,,,102,58,44,2,78,2,1,,,,,19,,,,,,45,57,,3615,3615,KINES
1986,,Applied Health Sciences,,,,Kinesiology,,,116,56,60,4,105,5,2,,,,,,,,,,,112,4,,3615,3615,KINES
1987,,Applied Health Sciences,,,,Kinesiology,,,87,50,37,,61,2,,1,,,,23,,,,,,33,54,,3615,3615,KINES
1987,,Applied Health Sciences,,,,Kinesiology,,,125,62,63,6,106,6,4,3,,,,,,,,,,121,4,,3615,3615,KINES
1988,,Applied Health Sciences,,,,Kinesiology,,,74,40,34,2,53,1,,1,,,,17,,,,,,31,43,,3615,3615,KINES
1988,,Applied Health Sciences,,,,Kinesiology,,,146,67,79,3,122,11,3,4,1,,,2,,,,,,140,6,,3615,3615,KINES
1989,,Applied Health Sciences,,,,Kinesiology,,,83,47,36,2,56,1,1,,,,,23,,,,,,33,50,,3615,3615,KINES
1989,,Applied Health Sciences,,,,Kinesiology,,,154,90,64,8,129,8,4,4,,,,1,,,,,,136,18,,3615,3615,KINES
1990,,Applied Health Sciences,,,,Kinesiology,,,95,52,43,,65,2,2,,1,,,25,,,,,,42,53,,3615,3615,KINES
1990,,Applied Health Sciences,,,,Kinesiology,,,162,98,64,3,127,19,5,5,,,,3,,,,,,141,21,,3615,3615,KINES
1991,,Applied Health Sciences,,,,Kinesiology,,,87,46,41,4,56,2,4,,,,,21,,,,,,39,48,,3615,3615,KINES
1991,,Applied Health Sciences,,,,Kinesiology,,,181,97,84,6,149,16,5,1,1,,,3,,,,,,163,18,,3615,3615,KINES
1992,,Applied Health Sciences,,,,Kinesiology,,,92,53,39,5,55,3,4,,1,,,24,,,,,,35,57,,3615,3615,KINES
1992,,Applied Health Sciences,,,,Kinesiology,,,216,123,93,8,162,21,13,7,1,,,4,,,,,,201,15,,3615,3615,KINES
1993,,Applied Health Sciences,,,,Kinesiology,,,79,45,34,3,56,2,2,,1,,,15,,,,,,34,45,,3615,3615,KINES
1993,,Applied Health Sciences,,,,Kinesiology,,,137,80,57,9,101,18,5,2,,,,2,,,,,,123,14,,3615,3615,KINES
1994,,Applied Health Sciences,,,,Kinesiology,,,65,36,29,1,45,1,1,,,,,17,,,,,,29,36,,3615,3615,KINES
1994,,Applied Health Sciences,,,,Kinesiology,,,109,50,59,4,85,11,6,3,,,,,,,,,,106,3,,3615,3615,KINES
1995,,Applied Health Sciences,,,,Kinesiology,,,70,43,27,,53,,3,,,,,14,,,,,,36,34,,3615,3615,KINES
1995,,Applied Health Sciences,,,,Kinesiology,,,121,52,69,1,93,13,3,9,,,,2,,,,,,109,12,,3615,3615,KINES
1996,,Applied Health Sciences,,,,Kinesiology,,,77,40,37,,57,,1,1,,,,18,,,,,,38,39,,3615,3615,KINES
1996,,Applied Health Sciences,,,,Kinesiology,,,3,2,1,,3,,,,,,,,,,,,,3,,,3615,3615,KINES
1997,,Applied Health Sciences,,,,Kinesiology,,,67,40,27,,47,2,,2,,,,16,,,,,,36,31,,3615,3615,KINES
1997,,Applied Health Sciences,,,,Kinesiology,,,4,2,2,1,2,,1,,,,,,,,,,,4,,,3615,3615,KINES
1998,,Applied Health Sciences,,,,Kinesiology,,,56,28,28,,34,3,,2,,,,17,,,,,,25,31,,3615,3615,KINES
1999,,Applied Health Sciences,,,,Kinesiology,,,56,29,27,,37,2,1,2,,,,14,,,,,,22,34,,3615,3615,KINES
2000,,Applied Health Sciences,,,,Kinesiology,,,48,25,23,1,32,2,1,1,,,,11,,,,,,22,26,,3615,3615,KINES
2001,,Applied Health Sciences,,,,Kinesiology,,,57,29,28,4,41,3,1,1,,,,7,,,,,,29,28,,3615,3615,KINES
2002,,Applied Health Sciences,,,,Kinesiology,,,61,29,32,3,38,4,3,1,,,,12,,,,,,30,31,,3615,3615,KINES
2003,,Applied Health Sciences,,,,Kinesiology,,,60,25,35,2,38,2,4,3,,,,11,,,,,,24,36,,3615,3615,KINES
1994,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",1,,1,,1,,,,,,,,,,,,,1,,,3615,3615,"KINES K-12,6-12"
1995,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",13,6,7,1,11,,1,,,,,,,,,,,13,,,3615,3615,"KINES K-12,6-12"
1996,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",15,10,5,1,13,,1,,,,,,,,,,,15,,,3615,3615,"KINES K-12,6-12"
1997,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",16,9,7,,16,,,,,,,,,,,,,16,,,3615,3615,"KINES K-12,6-12"
1998,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",22,13,9,,22,,,,,,,,,,,,,21,1,,3615,3615,"KINES K-12,6-12"
1999,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",12,6,6,,12,,,,,,,,,,,,,12,,,3615,3615,"KINES K-12,6-12"
2000,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",21,8,13,,19,,1,1,,,,,,,,,,20,1,,3615,3615,"KINES K-12,6-12"
2001,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",13,4,9,,12,,1,,,,,,,,,,,13,,,3615,3615,"KINES K-12,6-12"
2002,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",19,5,14,,19,,,,,,,,,,,,,19,,,3615,3615,"KINES K-12,6-12"
2003,,Applied Health Sciences,,,,Kinesiology,,"Teacher Ed - K-12, 6-12 ",45,21,24,,43,1,,1,,,,,,,,,,43,2,,3615,3615,"KINES K-12,6-12"
2002,,Applied Health Sciences,,,,Kinesiology,,Athletic Training,39,13,26,1,31,3,2,1,,,,1,,,,,,35,4,,3615,3615,KINES-ATHT
2003,,Applied Health Sciences,,,,Kinesiology,,Athletic Training,33,12,21,1,28,2,1,1,,,,,,,,,,31,2,,3615,3615,KINES-ATHT
1993,,Applied Health Sciences,,,,Kinesiology,,,165,82,83,1,131,7,16,8,,,,2,,,,,,159,6,,3615,3615,KINESIOLOGY
1994,,Applied Health Sciences,,,,Kinesiology,,,265,140,125,4,213,12,23,9,,,,4,,,,,,251,14,,3615,3615,KINESIOLOGY
1995,,Applied Health Sciences,,,,Kinesiology,,,249,115,134,3,205,12,19,8,,,,2,,,,,,236,13,,3615,3615,KINESIOLOGY
1996,,Applied Health Sciences,,,,Kinesiology,,,382,159,223,4,309,29,18,15,1,,,6,,,,,,352,30,,3615,3615,KINESIOLOGY
1997,,Applied Health Sciences,,,,Kinesiology,,,410,177,233,8,321,33,22,19,2,,,5,,,,,,376,34,,3615,3615,KINESIOLOGY
1998,,Applied Health Sciences,,,,Kinesiology,,,421,169,252,7,346,32,18,14,2,,,2,,,,,,388,33,,3615,3615,KINESIOLOGY
1999,,Applied Health Sciences,,,,Kinesiology,,,395,166,229,4,332,23,14,15,3,,,4,,,,,,368,27,,3615,3615,KINESIOLOGY
2000,,Applied Health Sciences,,,,Kinesiology,,,381,147,234,4,323,23,8,16,2,,,5,,,,,,356,25,,3615,3615,KINESIOLOGY
2001,,Applied Health Sciences,,,,Kinesiology,,,416,159,257,4,348,26,15,15,1,,,7,,,,,,385,31,,3615,3615,KINESIOLOGY
2002,,Applied Health Sciences,,,,Kinesiology,,,397,161,236,4,332,19,17,16,1,,,8,,,,,,363,34,,3615,3615,KINESIOLOGY
2003,,Applied Health Sciences,,,,Kinesiology,,,406,143,263,4,331,18,21,21,1,,,10,,,,,,364,42,,3615,3615,KINESIOLOGY
2018,120188,Applied Health Sciences,581,BS,351,Kinesiology,,,550,249,301,0,309,95,34,71,0,2,26,12,1,46,4,5,117,493,57,10KY0351BS,,,
2018,120188,Applied Health Sciences,581,BS,351,Kinesiology,4049,Teacher Education K-12,14,2,12,0,8,0,1,4,0,0,1,0,0,2,1,0,1,14,0,10KY4049BS,,,
2018,120188,Applied Health Sciences,581,MS,351,Kinesiology,,,18,6,12,0,11,0,1,4,0,0,2,0,0,2,1,0,1,10,8,10KS0351MS,,,
2018,120188,Applied Health Sciences,581,PHD,351,Kinesiology,,,52,29,23,0,23,4,2,2,0,0,1,19,1,2,0,0,5,16,36,10KS0351PHD,,,
2017,120178,Applied Health Sciences,581,BS,351,Kinesiology,,,567,239,328,0,335,94,32,74,1,1,16,12,2,43,6,1,108,505,62,10KY0351BS,,,
2017,120178,Applied Health Sciences,581,BS,351,Kinesiology,4049,Teacher Education K-12,8,6,2,0,5,1,2,0,0,0,0,0,0,2,0,0,1,7,1,10KY4049BS,,,
2017,120178,Applied Health Sciences,581,MS,351,Kinesiology,,,21,9,12,0,12,1,0,1,0,0,5,2,0,1,0,1,5,9,12,10KS0351MS,,,
2017,120178,Applied Health Sciences,581,PHD,351,Kinesiology,,,47,21,26,0,19,3,1,2,0,0,0,21,1,1,0,0,3,10,37,10KS0351PHD,,,
2016,120168,Applied Health Sciences,581,BS,351,Kinesiology,,,546,229,317,0,356,74,31,57,1,0,19,7,1,40,5,2,87,498,48,10KY0351BS,,,
2016,120168,Applied Health Sciences,581,BS,351,Kinesiology,4049,Teacher Education K-12,11,8,3,0,8,0,1,2,0,0,0,0,0,1,0,1,1,11,0,10KY4049BS,,,
2016,120168,Applied Health Sciences,581,MS,351,Kinesiology,,,18,12,6,0,11,1,0,0,0,0,4,2,0,1,0,1,4,11,7,10KS0351MS,,,
2016,120168,Applied Health Sciences,581,PHD,351,Kinesiology,,,54,26,28,0,28,3,3,2,0,0,1,16,1,3,0,0,4,17,37,10KS0351PHD,,,
2015,120158,Applied Health Sciences,581,BS,351,Kinesiology,4049,Teacher Education K-12,10,6,4,0,8,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10KY4049BS,,,
2015,120158,Applied Health Sciences,581,MS,351,Kinesiology,,,17,9,8,0,12,0,0,0,1,0,2,2,0,1,1,0,1,11,6,10KS0351MS,,,
